Col,Row,Year,Date,CensusN
L,5,1,6/12/19,1.01
L,6,1,6/12/19,1.01
L,7,1,6/12/19,1.01
L,8,1,6/12/19,1.01
L,9,1,6/12/19,1.01
L,10,1,6/12/19,1.01
L,11,1,6/12/19,1.01
L,12,1,6/12/19,1.01
L,13,1,6/12/19,1.01
M,1,1,6/12/19,1.01
M,2,1,6/12/19,1.01
M,3,1,6/12/19,1.01
M,4,1,6/12/19,1.01
M,5,1,6/12/19,1.01
M,6,1,6/12/19,1.01
M,8,1,6/12/19,1.01
M,9,1,6/12/19,1.01
M,10,1,6/12/19,1.01
M,11,1,6/12/19,1.01
M,12,1,6/12/19,1.01
M,13,1,6/12/19,1.01
A,0,1,6/16/19,1.02
A,1,1,6/16/19,1.02
A,2,1,6/16/19,1.02
A,3,1,6/16/19,1.02
A,4,1,6/16/19,1.02
A,5,1,6/16/19,1.02
A,6,1,6/16/19,1.02
A,7,1,6/16/19,1.02
A,8,1,6/16/19,1.02
A,9,1,6/16/19,1.02
A,10,1,6/16/19,1.02
A,11,1,6/16/19,1.02
A,12,1,6/16/19,1.02
B,0,1,6/16/19,1.02
B,1,1,6/16/19,1.02
B,2,1,6/16/19,1.02
B,3,1,6/16/19,1.02
B,4,1,6/16/19,1.02
B,5,1,6/16/19,1.02
B,6,1,6/16/19,1.02
B,7,1,6/16/19,1.02
B,8,1,6/16/19,1.02
B,9,1,6/16/19,1.02
B,10,1,6/16/19,1.02
B,11,1,6/16/19,1.02
B,12,1,6/16/19,1.02
B,13,1,6/16/19,1.02
C,0,1,6/16/19,1.02
C,1,1,6/16/19,1.02
C,2,1,6/16/19,1.02
C,3,1,6/16/19,1.02
C,4,1,6/16/19,1.02
C,5,1,6/16/19,1.02
C,6,1,6/16/19,1.02
C,7,1,6/16/19,1.02
C,9,1,6/16/19,1.02
C,10,1,6/16/19,1.02
C,11,1,6/16/19,1.02
C,12,1,6/16/19,1.02
C,13,1,6/16/19,1.02
D,0,1,6/16/19,1.02
D,1,1,6/16/19,1.02
D,2,1,6/16/19,1.02
D,3,1,6/16/19,1.02
D,4,1,6/16/19,1.02
D,5,1,6/16/19,1.02
D,6,1,6/16/19,1.02
D,8,1,6/16/19,1.02
D,9,1,6/16/19,1.02
D,10,1,6/16/19,1.02
D,11,1,6/16/19,1.02
D,12,1,6/16/19,1.02
D,13,1,6/16/19,1.02
E,1,1,6/16/19,1.02
E,2,1,6/16/19,1.02
E,3,1,6/16/19,1.02
E,4,1,6/16/19,1.02
E,5,1,6/16/19,1.02
E,7,1,6/16/19,1.02
E,8,1,6/16/19,1.02
E,9,1,6/16/19,1.02
E,10,1,6/16/19,1.02
E,11,1,6/16/19,1.02
E,12,1,6/16/19,1.02
E,13,1,6/16/19,1.02
F,1,1,6/16/19,1.02
F,2,1,6/16/19,1.02
F,3,1,6/16/19,1.02
F,4,1,6/16/19,1.02
F,6,1,6/16/19,1.02
F,7,1,6/16/19,1.02
F,8,1,6/16/19,1.02
F,9,1,6/16/19,1.02
F,10,1,6/16/19,1.02
F,11,1,6/16/19,1.02
F,12,1,6/16/19,1.02
F,13,1,6/16/19,1.02
G,1,1,6/16/19,1.02
G,2,1,6/16/19,1.02
G,3,1,6/16/19,1.02
G,5,1,6/16/19,1.02
G,6,1,6/16/19,1.02
G,7,1,6/16/19,1.02
G,8,1,6/16/19,1.02
G,9,1,6/16/19,1.02
G,10,1,6/16/19,1.02
G,11,1,6/16/19,1.02
G,12,1,6/16/19,1.02
G,13,1,6/16/19,1.02
H,1,1,6/16/19,1.02
H,2,1,6/16/19,1.02
H,4,1,6/16/19,1.02
H,5,1,6/16/19,1.02
H,6,1,6/16/19,1.02
H,7,1,6/16/19,1.02
H,8,1,6/16/19,1.02
H,9,1,6/16/19,1.02
H,10,1,6/16/19,1.02
H,11,1,6/16/19,1.02
H,12,1,6/16/19,1.02
I,1,1,6/16/19,1.02
I,3,1,6/16/19,1.02
I,4,1,6/16/19,1.02
I,5,1,6/16/19,1.02
I,6,1,6/16/19,1.02
I,7,1,6/16/19,1.02
I,8,1,6/16/19,1.02
I,9,1,6/16/19,1.02
I,10,1,6/16/19,1.02
I,11,1,6/16/19,1.02
I,12,1,6/16/19,1.02
J,2,1,6/16/19,1.02
J,3,1,6/16/19,1.02
J,4,1,6/16/19,1.02
J,5,1,6/16/19,1.02
J,6,1,6/16/19,1.02
J,7,1,6/16/19,1.02
J,8,1,6/16/19,1.02
J,9,1,6/16/19,1.02
J,10,1,6/16/19,1.02
J,11,1,6/16/19,1.02
J,12,1,6/16/19,1.02
K,1,1,6/16/19,1.02
K,2,1,6/16/19,1.02
K,3,1,6/16/19,1.02
K,4,1,6/16/19,1.02
K,5,1,6/16/19,1.02
K,6,1,6/16/19,1.02
K,7,1,6/16/19,1.02
K,8,1,6/16/19,1.02
K,9,1,6/16/19,1.02
K,10,1,6/16/19,1.02
K,11,1,6/16/19,1.02
K,12,1,6/16/19,1.02
K,13,1,6/16/19,1.02
L,1,1,6/16/19,1.02
L,2,1,6/16/19,1.02
L,3,1,6/16/19,1.02
L,4,1,6/16/19,1.02
L,5,1,6/16/19,1.02
L,6,1,6/16/19,1.02
L,7,1,6/16/19,1.02
L,8,1,6/16/19,1.02
L,9,1,6/16/19,1.02
L,10,1,6/16/19,1.02
L,11,1,6/16/19,1.02
L,12,1,6/16/19,1.02
L,13,1,6/16/19,1.02
M,1,1,6/16/19,1.02
M,2,1,6/16/19,1.02
M,3,1,6/16/19,1.02
M,4,1,6/16/19,1.02
M,5,1,6/16/19,1.02
M,6,1,6/16/19,1.02
M,8,1,6/16/19,1.02
M,9,1,6/16/19,1.02
M,10,1,6/16/19,1.02
M,11,1,6/16/19,1.02
M,12,1,6/16/19,1.02
M,13,1,6/16/19,1.02
A,0,1,6/26/19,1.03
A,1,1,6/26/19,1.03
A,2,1,6/26/19,1.03
A,3,1,6/26/19,1.03
A,4,1,6/26/19,1.03
A,5,1,6/26/19,1.03
A,6,1,6/26/19,1.03
A,7,1,6/26/19,1.03
A,8,1,6/26/19,1.03
A,9,1,6/26/19,1.03
A,10,1,6/26/19,1.03
A,11,1,6/26/19,1.03
A,12,1,6/26/19,1.03
B,0,1,6/26/19,1.03
B,1,1,6/26/19,1.03
B,2,1,6/26/19,1.03
B,3,1,6/26/19,1.03
B,4,1,6/26/19,1.03
B,5,1,6/26/19,1.03
B,6,1,6/26/19,1.03
B,7,1,6/26/19,1.03
B,8,1,6/26/19,1.03
B,9,1,6/26/19,1.03
B,10,1,6/26/19,1.03
B,11,1,6/26/19,1.03
B,12,1,6/26/19,1.03
B,13,1,6/26/19,1.03
C,0,1,6/26/19,1.03
C,1,1,6/26/19,1.03
C,2,1,6/26/19,1.03
C,3,1,6/26/19,1.03
C,4,1,6/26/19,1.03
C,5,1,6/26/19,1.03
C,6,1,6/26/19,1.03
C,7,1,6/26/19,1.03
C,9,1,6/26/19,1.03
C,10,1,6/26/19,1.03
C,11,1,6/26/19,1.03
C,12,1,6/26/19,1.03
C,13,1,6/26/19,1.03
D,0,1,6/26/19,1.03
D,1,1,6/26/19,1.03
D,2,1,6/26/19,1.03
D,3,1,6/26/19,1.03
D,4,1,6/26/19,1.03
D,5,1,6/26/19,1.03
D,6,1,6/26/19,1.03
D,8,1,6/26/19,1.03
D,9,1,6/26/19,1.03
D,10,1,6/26/19,1.03
D,11,1,6/26/19,1.03
D,12,1,6/26/19,1.03
D,13,1,6/26/19,1.03
E,1,1,6/26/19,1.03
E,2,1,6/26/19,1.03
E,3,1,6/26/19,1.03
E,4,1,6/26/19,1.03
E,5,1,6/26/19,1.03
E,7,1,6/26/19,1.03
E,8,1,6/26/19,1.03
E,9,1,6/26/19,1.03
E,10,1,6/26/19,1.03
E,11,1,6/26/19,1.03
E,12,1,6/26/19,1.03
E,13,1,6/26/19,1.03
F,1,1,6/26/19,1.03
F,2,1,6/26/19,1.03
F,3,1,6/26/19,1.03
F,4,1,6/26/19,1.03
F,6,1,6/26/19,1.03
F,7,1,6/26/19,1.03
F,8,1,6/26/19,1.03
F,9,1,6/26/19,1.03
F,10,1,6/26/19,1.03
F,11,1,6/26/19,1.03
F,12,1,6/26/19,1.03
F,13,1,6/26/19,1.03
G,1,1,6/26/19,1.03
G,2,1,6/26/19,1.03
G,3,1,6/26/19,1.03
G,5,1,6/26/19,1.03
G,6,1,6/26/19,1.03
G,7,1,6/26/19,1.03
G,8,1,6/26/19,1.03
G,9,1,6/26/19,1.03
G,10,1,6/26/19,1.03
G,11,1,6/26/19,1.03
G,12,1,6/26/19,1.03
G,13,1,6/26/19,1.03
H,1,1,6/26/19,1.03
H,2,1,6/26/19,1.03
H,4,1,6/26/19,1.03
H,5,1,6/26/19,1.03
H,6,1,6/26/19,1.03
H,7,1,6/26/19,1.03
H,8,1,6/26/19,1.03
H,9,1,6/26/19,1.03
H,10,1,6/26/19,1.03
H,11,1,6/26/19,1.03
H,12,1,6/26/19,1.03
I,1,1,6/26/19,1.03
I,3,1,6/26/19,1.03
I,4,1,6/26/19,1.03
I,5,1,6/26/19,1.03
I,6,1,6/26/19,1.03
I,7,1,6/26/19,1.03
I,8,1,6/26/19,1.03
I,9,1,6/26/19,1.03
I,10,1,6/26/19,1.03
I,11,1,6/26/19,1.03
I,12,1,6/26/19,1.03
J,2,1,6/26/19,1.03
J,3,1,6/26/19,1.03
J,4,1,6/26/19,1.03
J,5,1,6/26/19,1.03
J,6,1,6/26/19,1.03
J,7,1,6/26/19,1.03
J,8,1,6/26/19,1.03
J,9,1,6/26/19,1.03
J,10,1,6/26/19,1.03
J,11,1,6/26/19,1.03
J,12,1,6/26/19,1.03
K,1,1,6/26/19,1.03
K,2,1,6/26/19,1.03
K,3,1,6/26/19,1.03
K,4,1,6/26/19,1.03
K,5,1,6/26/19,1.03
K,6,1,6/26/19,1.03
K,7,1,6/26/19,1.03
K,8,1,6/26/19,1.03
K,9,1,6/26/19,1.03
K,10,1,6/26/19,1.03
K,11,1,6/26/19,1.03
K,12,1,6/26/19,1.03
K,13,1,6/26/19,1.03
L,1,1,6/26/19,1.03
L,2,1,6/26/19,1.03
L,3,1,6/26/19,1.03
L,4,1,6/26/19,1.03
L,5,1,6/26/19,1.03
L,6,1,6/26/19,1.03
L,7,1,6/26/19,1.03
L,8,1,6/26/19,1.03
L,9,1,6/26/19,1.03
L,10,1,6/26/19,1.03
L,11,1,6/26/19,1.03
L,12,1,6/26/19,1.03
L,13,1,6/26/19,1.03
M,1,1,6/26/19,1.03
M,2,1,6/26/19,1.03
M,3,1,6/26/19,1.03
M,4,1,6/26/19,1.03
M,5,1,6/26/19,1.03
M,6,1,6/26/19,1.03
M,8,1,6/26/19,1.03
M,9,1,6/26/19,1.03
M,10,1,6/26/19,1.03
M,11,1,6/26/19,1.03
M,12,1,6/26/19,1.03
M,13,1,6/26/19,1.03
A,0,1,7/3/19,1.04
A,1,1,7/3/19,1.04
A,2,1,7/3/19,1.04
A,3,1,7/3/19,1.04
A,4,1,7/3/19,1.04
A,5,1,7/3/19,1.04
A,6,1,7/3/19,1.04
A,7,1,7/3/19,1.04
A,8,1,7/3/19,1.04
A,9,1,7/3/19,1.04
A,10,1,7/3/19,1.04
A,11,1,7/3/19,1.04
A,12,1,7/3/19,1.04
B,0,1,7/3/19,1.04
B,1,1,7/3/19,1.04
B,2,1,7/3/19,1.04
B,3,1,7/3/19,1.04
B,4,1,7/3/19,1.04
B,5,1,7/3/19,1.04
B,6,1,7/3/19,1.04
B,7,1,7/3/19,1.04
B,8,1,7/3/19,1.04
B,9,1,7/3/19,1.04
B,10,1,7/3/19,1.04
B,11,1,7/3/19,1.04
B,12,1,7/3/19,1.04
B,13,1,7/3/19,1.04
C,0,1,7/3/19,1.04
C,1,1,7/3/19,1.04
C,2,1,7/3/19,1.04
C,3,1,7/3/19,1.04
C,4,1,7/3/19,1.04
C,5,1,7/3/19,1.04
C,6,1,7/3/19,1.04
C,7,1,7/3/19,1.04
C,9,1,7/3/19,1.04
C,10,1,7/3/19,1.04
C,11,1,7/3/19,1.04
C,12,1,7/3/19,1.04
C,13,1,7/3/19,1.04
D,0,1,7/3/19,1.04
D,1,1,7/3/19,1.04
D,2,1,7/3/19,1.04
D,3,1,7/3/19,1.04
D,4,1,7/3/19,1.04
D,5,1,7/3/19,1.04
D,6,1,7/3/19,1.04
D,8,1,7/3/19,1.04
D,9,1,7/3/19,1.04
D,10,1,7/3/19,1.04
D,11,1,7/3/19,1.04
D,12,1,7/3/19,1.04
D,13,1,7/3/19,1.04
E,1,1,7/3/19,1.04
E,2,1,7/3/19,1.04
E,3,1,7/3/19,1.04
E,4,1,7/3/19,1.04
E,5,1,7/3/19,1.04
E,7,1,7/3/19,1.04
E,8,1,7/3/19,1.04
E,9,1,7/3/19,1.04
E,10,1,7/3/19,1.04
E,11,1,7/3/19,1.04
E,12,1,7/3/19,1.04
E,13,1,7/3/19,1.04
F,1,1,7/3/19,1.04
F,2,1,7/3/19,1.04
F,3,1,7/3/19,1.04
F,4,1,7/3/19,1.04
F,6,1,7/3/19,1.04
F,7,1,7/3/19,1.04
F,8,1,7/3/19,1.04
F,9,1,7/3/19,1.04
F,10,1,7/3/19,1.04
F,11,1,7/3/19,1.04
F,12,1,7/3/19,1.04
F,13,1,7/3/19,1.04
G,1,1,7/3/19,1.04
G,2,1,7/3/19,1.04
G,3,1,7/3/19,1.04
G,5,1,7/3/19,1.04
G,6,1,7/3/19,1.04
G,7,1,7/3/19,1.04
G,8,1,7/3/19,1.04
G,9,1,7/3/19,1.04
G,10,1,7/3/19,1.04
G,11,1,7/3/19,1.04
G,12,1,7/3/19,1.04
G,13,1,7/3/19,1.04
H,1,1,7/3/19,1.04
H,2,1,7/3/19,1.04
H,4,1,7/3/19,1.04
H,5,1,7/3/19,1.04
H,6,1,7/3/19,1.04
H,7,1,7/3/19,1.04
H,8,1,7/3/19,1.04
H,9,1,7/3/19,1.04
H,10,1,7/3/19,1.04
H,11,1,7/3/19,1.04
H,12,1,7/3/19,1.04
I,1,1,7/3/19,1.04
I,3,1,7/3/19,1.04
I,4,1,7/3/19,1.04
I,5,1,7/3/19,1.04
I,6,1,7/3/19,1.04
I,7,1,7/3/19,1.04
I,8,1,7/3/19,1.04
I,9,1,7/3/19,1.04
I,10,1,7/3/19,1.04
I,11,1,7/3/19,1.04
I,12,1,7/3/19,1.04
J,2,1,7/3/19,1.04
J,3,1,7/3/19,1.04
J,4,1,7/3/19,1.04
J,5,1,7/3/19,1.04
J,6,1,7/3/19,1.04
J,7,1,7/3/19,1.04
J,8,1,7/3/19,1.04
J,9,1,7/3/19,1.04
J,10,1,7/3/19,1.04
J,11,1,7/3/19,1.04
J,12,1,7/3/19,1.04
K,1,1,7/3/19,1.04
K,2,1,7/3/19,1.04
K,3,1,7/3/19,1.04
K,4,1,7/3/19,1.04
K,5,1,7/3/19,1.04
K,6,1,7/3/19,1.04
K,7,1,7/3/19,1.04
K,8,1,7/3/19,1.04
K,9,1,7/3/19,1.04
K,10,1,7/3/19,1.04
K,11,1,7/3/19,1.04
K,12,1,7/3/19,1.04
K,13,1,7/3/19,1.04
L,1,1,7/3/19,1.04
L,2,1,7/3/19,1.04
L,3,1,7/3/19,1.04
L,4,1,7/3/19,1.04
L,5,1,7/3/19,1.04
L,6,1,7/3/19,1.04
L,7,1,7/3/19,1.04
L,8,1,7/3/19,1.04
L,9,1,7/3/19,1.04
L,10,1,7/3/19,1.04
L,11,1,7/3/19,1.04
L,12,1,7/3/19,1.04
L,13,1,7/3/19,1.04
M,1,1,7/3/19,1.04
M,2,1,7/3/19,1.04
M,3,1,7/3/19,1.04
M,4,1,7/3/19,1.04
M,5,1,7/3/19,1.04
M,6,1,7/3/19,1.04
M,8,1,7/3/19,1.04
M,9,1,7/3/19,1.04
M,10,1,7/3/19,1.04
M,11,1,7/3/19,1.04
M,12,1,7/3/19,1.04
M,13,1,7/3/19,1.04
A,0,1,7/10/19,1.05
A,1,1,7/10/19,1.05
A,2,1,7/10/19,1.05
A,3,1,7/10/19,1.05
A,4,1,7/10/19,1.05
A,5,1,7/10/19,1.05
A,6,1,7/10/19,1.05
A,7,1,7/10/19,1.05
A,8,1,7/10/19,1.05
A,9,1,7/10/19,1.05
A,10,1,7/10/19,1.05
A,11,1,7/10/19,1.05
A,12,1,7/10/19,1.05
B,0,1,7/10/19,1.05
B,1,1,7/10/19,1.05
B,2,1,7/10/19,1.05
B,3,1,7/10/19,1.05
B,4,1,7/10/19,1.05
B,5,1,7/10/19,1.05
B,6,1,7/10/19,1.05
B,7,1,7/10/19,1.05
B,8,1,7/10/19,1.05
B,9,1,7/10/19,1.05
B,10,1,7/10/19,1.05
B,11,1,7/10/19,1.05
B,12,1,7/10/19,1.05
B,13,1,7/10/19,1.05
C,0,1,7/10/19,1.05
C,1,1,7/10/19,1.05
C,2,1,7/10/19,1.05
C,3,1,7/10/19,1.05
C,4,1,7/10/19,1.05
C,5,1,7/10/19,1.05
C,6,1,7/10/19,1.05
C,7,1,7/10/19,1.05
C,9,1,7/10/19,1.05
C,10,1,7/10/19,1.05
C,11,1,7/10/19,1.05
C,12,1,7/10/19,1.05
C,13,1,7/10/19,1.05
D,0,1,7/10/19,1.05
D,1,1,7/10/19,1.05
D,2,1,7/10/19,1.05
D,3,1,7/10/19,1.05
D,4,1,7/10/19,1.05
D,5,1,7/10/19,1.05
D,6,1,7/10/19,1.05
D,8,1,7/10/19,1.05
D,9,1,7/10/19,1.05
D,10,1,7/10/19,1.05
D,11,1,7/10/19,1.05
D,12,1,7/10/19,1.05
D,13,1,7/10/19,1.05
E,1,1,7/10/19,1.05
E,2,1,7/10/19,1.05
E,3,1,7/10/19,1.05
E,4,1,7/10/19,1.05
E,5,1,7/10/19,1.05
E,7,1,7/10/19,1.05
E,8,1,7/10/19,1.05
E,9,1,7/10/19,1.05
E,10,1,7/10/19,1.05
E,11,1,7/10/19,1.05
E,12,1,7/10/19,1.05
E,13,1,7/10/19,1.05
F,1,1,7/10/19,1.05
F,2,1,7/10/19,1.05
F,3,1,7/10/19,1.05
F,4,1,7/10/19,1.05
F,6,1,7/10/19,1.05
F,7,1,7/10/19,1.05
F,8,1,7/10/19,1.05
F,9,1,7/10/19,1.05
F,10,1,7/10/19,1.05
F,11,1,7/10/19,1.05
F,12,1,7/10/19,1.05
F,13,1,7/10/19,1.05
G,1,1,7/10/19,1.05
G,2,1,7/10/19,1.05
G,3,1,7/10/19,1.05
G,5,1,7/10/19,1.05
G,6,1,7/10/19,1.05
G,7,1,7/10/19,1.05
G,8,1,7/10/19,1.05
G,9,1,7/10/19,1.05
G,10,1,7/10/19,1.05
G,11,1,7/10/19,1.05
G,12,1,7/10/19,1.05
G,13,1,7/10/19,1.05
H,1,1,7/10/19,1.05
H,2,1,7/10/19,1.05
H,4,1,7/10/19,1.05
H,5,1,7/10/19,1.05
H,6,1,7/10/19,1.05
H,7,1,7/10/19,1.05
H,8,1,7/10/19,1.05
H,9,1,7/10/19,1.05
H,10,1,7/10/19,1.05
H,11,1,7/10/19,1.05
H,12,1,7/10/19,1.05
I,1,1,7/10/19,1.05
I,3,1,7/10/19,1.05
I,4,1,7/10/19,1.05
I,5,1,7/10/19,1.05
I,6,1,7/10/19,1.05
I,7,1,7/10/19,1.05
I,8,1,7/10/19,1.05
I,9,1,7/10/19,1.05
I,10,1,7/10/19,1.05
I,11,1,7/10/19,1.05
I,12,1,7/10/19,1.05
J,2,1,7/10/19,1.05
J,3,1,7/10/19,1.05
J,4,1,7/10/19,1.05
J,5,1,7/10/19,1.05
J,6,1,7/10/19,1.05
J,7,1,7/10/19,1.05
J,8,1,7/10/19,1.05
J,9,1,7/10/19,1.05
J,10,1,7/10/19,1.05
J,11,1,7/10/19,1.05
J,12,1,7/10/19,1.05
K,1,1,7/10/19,1.05
K,2,1,7/10/19,1.05
K,3,1,7/10/19,1.05
K,4,1,7/10/19,1.05
K,5,1,7/10/19,1.05
K,6,1,7/10/19,1.05
K,7,1,7/10/19,1.05
K,8,1,7/10/19,1.05
K,9,1,7/10/19,1.05
K,10,1,7/10/19,1.05
K,11,1,7/10/19,1.05
K,12,1,7/10/19,1.05
K,13,1,7/10/19,1.05
L,1,1,7/10/19,1.05
L,2,1,7/10/19,1.05
L,3,1,7/10/19,1.05
L,4,1,7/10/19,1.05
L,5,1,7/10/19,1.05
L,6,1,7/10/19,1.05
L,7,1,7/10/19,1.05
L,8,1,7/10/19,1.05
L,9,1,7/10/19,1.05
L,10,1,7/10/19,1.05
L,11,1,7/10/19,1.05
L,12,1,7/10/19,1.05
L,13,1,7/10/19,1.05
M,1,1,7/10/19,1.05
M,2,1,7/10/19,1.05
M,3,1,7/10/19,1.05
M,4,1,7/10/19,1.05
M,5,1,7/10/19,1.05
M,6,1,7/10/19,1.05
M,8,1,7/10/19,1.05
M,9,1,7/10/19,1.05
M,10,1,7/10/19,1.05
M,11,1,7/10/19,1.05
M,12,1,7/10/19,1.05
M,13,1,7/10/19,1.05
A,0,1,7/17/19,1.06
A,1,1,7/17/19,1.06
A,2,1,7/17/19,1.06
A,3,1,7/17/19,1.06
A,4,1,7/17/19,1.06
A,5,1,7/17/19,1.06
A,6,1,7/17/19,1.06
A,7,1,7/17/19,1.06
A,8,1,7/17/19,1.06
A,9,1,7/17/19,1.06
A,10,1,7/17/19,1.06
A,11,1,7/17/19,1.06
A,12,1,7/17/19,1.06
B,0,1,7/17/19,1.06
B,1,1,7/17/19,1.06
B,2,1,7/17/19,1.06
B,3,1,7/17/19,1.06
B,4,1,7/17/19,1.06
B,5,1,7/17/19,1.06
B,6,1,7/17/19,1.06
B,7,1,7/17/19,1.06
B,8,1,7/17/19,1.06
B,9,1,7/17/19,1.06
B,10,1,7/17/19,1.06
B,11,1,7/17/19,1.06
B,12,1,7/17/19,1.06
B,13,1,7/17/19,1.06
C,0,1,7/17/19,1.06
C,1,1,7/17/19,1.06
C,2,1,7/17/19,1.06
C,3,1,7/17/19,1.06
C,4,1,7/17/19,1.06
C,5,1,7/17/19,1.06
C,6,1,7/17/19,1.06
C,7,1,7/17/19,1.06
C,9,1,7/17/19,1.06
C,10,1,7/17/19,1.06
C,11,1,7/17/19,1.06
C,12,1,7/17/19,1.06
C,13,1,7/17/19,1.06
D,0,1,7/17/19,1.06
D,1,1,7/17/19,1.06
D,2,1,7/17/19,1.06
D,3,1,7/17/19,1.06
D,4,1,7/17/19,1.06
D,5,1,7/17/19,1.06
D,6,1,7/17/19,1.06
D,8,1,7/17/19,1.06
D,9,1,7/17/19,1.06
D,10,1,7/17/19,1.06
D,11,1,7/17/19,1.06
D,12,1,7/17/19,1.06
D,13,1,7/17/19,1.06
E,1,1,7/17/19,1.06
E,2,1,7/17/19,1.06
E,3,1,7/17/19,1.06
E,4,1,7/17/19,1.06
E,5,1,7/17/19,1.06
E,7,1,7/17/19,1.06
E,8,1,7/17/19,1.06
E,9,1,7/17/19,1.06
E,10,1,7/17/19,1.06
E,11,1,7/17/19,1.06
E,12,1,7/17/19,1.06
E,13,1,7/17/19,1.06
F,1,1,7/17/19,1.06
F,2,1,7/17/19,1.06
F,3,1,7/17/19,1.06
F,4,1,7/17/19,1.06
F,6,1,7/17/19,1.06
F,7,1,7/17/19,1.06
F,8,1,7/17/19,1.06
