PopID,Block,Treatment,Year,Date,Month,Time,Data.Temp
A09,3,Native Soil,Year 1,5/23/19,Start,20:01,29
D02,1,Native Soil,Year 1,5/23/19,Start,20:01,29.5
J09,5,Native Soil,Year 1,5/23/19,Start,20:01,29
B01,1,Control,Year 1,5/24/19,Start,0:01,24
D13,3,Control,Year 1,5/24/19,Start,0:01,24
G05,5,Control,Year 1,5/24/19,Start,0:01,25
K04,7,Control,Year 1,5/24/19,Start,0:01,23
B01,1,Control,Year 1,5/24/19,Start,4:01,22
D13,3,Control,Year 1,5/24/19,Start,4:01,22
G05,5,Control,Year 1,5/24/19,Start,4:01,23
K04,7,Control,Year 1,5/24/19,Start,4:01,22
B01,1,Control,Year 1,5/24/19,Start,8:01,25
D13,3,Control,Year 1,5/24/19,Start,8:01,26
G05,5,Control,Year 1,5/24/19,Start,8:01,26.5
K04,7,Control,Year 1,5/24/19,Start,8:01,24.5
B01,1,Control,Year 1,5/24/19,Start,12:01,38
D13,3,Control,Year 1,5/24/19,Start,12:01,37
G05,5,Control,Year 1,5/24/19,Start,12:01,33
K04,7,Control,Year 1,5/24/19,Start,12:01,32.5
B01,1,Control,Year 1,5/24/19,Start,16:01,43
D13,3,Control,Year 1,5/24/19,Start,16:01,43
G05,5,Control,Year 1,5/24/19,Start,16:01,39
K04,7,Control,Year 1,5/24/19,Start,16:01,36
B01,1,Control,Year 1,5/24/19,Start,20:01,31
D13,3,Control,Year 1,5/24/19,Start,20:01,31
G05,5,Control,Year 1,5/24/19,Start,20:01,30.5
K04,7,Control,Year 1,5/24/19,Start,20:01,29
A04,1,High Humidity,Year 1,5/24/19,Start,0:01,24.5
C10,3,High Humidity,Year 1,5/24/19,Start,0:01,25
J07,5,High Humidity,Year 1,5/24/19,Start,0:01,24.5
A04,1,High Humidity,Year 1,5/24/19,Start,4:01,22
C10,3,High Humidity,Year 1,5/24/19,Start,4:01,22.5
J07,5,High Humidity,Year 1,5/24/19,Start,4:01,22.5
A04,1,High Humidity,Year 1,5/24/19,Start,8:01,26
C10,3,High Humidity,Year 1,5/24/19,Start,8:01,26
J07,5,High Humidity,Year 1,5/24/19,Start,8:01,28.5
A04,1,High Humidity,Year 1,5/24/19,Start,12:01,44.5
C10,3,High Humidity,Year 1,5/24/19,Start,12:01,37.5
J07,5,High Humidity,Year 1,5/24/19,Start,12:01,44
A04,1,High Humidity,Year 1,5/24/19,Start,16:01,49
C10,3,High Humidity,Year 1,5/24/19,Start,16:01,45.5
J07,5,High Humidity,Year 1,5/24/19,Start,16:01,45.5
A04,1,High Humidity,Year 1,5/24/19,Start,20:01,32.5
C10,3,High Humidity,Year 1,5/24/19,Start,20:01,32.5
J07,5,High Humidity,Year 1,5/24/19,Start,20:01,32.5
A09,3,Native Soil,Year 1,5/24/19,Start,0:01,24
D02,1,Native Soil,Year 1,5/24/19,Start,0:01,25
J09,5,Native Soil,Year 1,5/24/19,Start,0:01,25
A09,3,Native Soil,Year 1,5/24/19,Start,4:01,22
D02,1,Native Soil,Year 1,5/24/19,Start,4:01,23
J09,5,Native Soil,Year 1,5/24/19,Start,4:01,23.5
A09,3,Native Soil,Year 1,5/24/19,Start,8:01,25.5
D02,1,Native Soil,Year 1,5/24/19,Start,8:01,25.5
J09,5,Native Soil,Year 1,5/24/19,Start,8:01,24.5
A09,3,Native Soil,Year 1,5/24/19,Start,12:01,39.5
D02,1,Native Soil,Year 1,5/24/19,Start,12:01,39
J09,5,Native Soil,Year 1,5/24/19,Start,12:01,37
A09,3,Native Soil,Year 1,5/24/19,Start,16:01,45
D02,1,Native Soil,Year 1,5/24/19,Start,16:01,44
J09,5,Native Soil,Year 1,5/24/19,Start,16:01,43
A09,3,Native Soil,Year 1,5/24/19,Start,20:01,32.5
D02,1,Native Soil,Year 1,5/24/19,Start,20:01,33.5
J09,5,Native Soil,Year 1,5/24/19,Start,20:01,32.5
B01,1,Control,Year 1,5/25/19,Start,0:01,25.5
D13,3,Control,Year 1,5/25/19,Start,0:01,25.5
G05,5,Control,Year 1,5/25/19,Start,0:01,26.5
K04,7,Control,Year 1,5/25/19,Start,0:01,25
B01,1,Control,Year 1,5/25/19,Start,4:01,23.5
D13,3,Control,Year 1,5/25/19,Start,4:01,23.5
G05,5,Control,Year 1,5/25/19,Start,4:01,25
K04,7,Control,Year 1,5/25/19,Start,4:01,23.5
B01,1,Control,Year 1,5/25/19,Start,8:01,26
D13,3,Control,Year 1,5/25/19,Start,8:01,26.5
G05,5,Control,Year 1,5/25/19,Start,8:01,27
K04,7,Control,Year 1,5/25/19,Start,8:01,25.5
B01,1,Control,Year 1,5/25/19,Start,12:01,39
D13,3,Control,Year 1,5/25/19,Start,12:01,37.5
G05,5,Control,Year 1,5/25/19,Start,12:01,34
K04,7,Control,Year 1,5/25/19,Start,12:01,33.5
B01,1,Control,Year 1,5/25/19,Start,16:01,46.5
D13,3,Control,Year 1,5/25/19,Start,16:01,45
G05,5,Control,Year 1,5/25/19,Start,16:01,41
K04,7,Control,Year 1,5/25/19,Start,16:01,40.5
B01,1,Control,Year 1,5/25/19,Start,20:01,32
D13,3,Control,Year 1,5/25/19,Start,20:01,32
G05,5,Control,Year 1,5/25/19,Start,20:01,31.5
K04,7,Control,Year 1,5/25/19,Start,20:01,30
A04,1,High Humidity,Year 1,5/25/19,Start,0:01,26
C10,3,High Humidity,Year 1,5/25/19,Start,0:01,26.5
J07,5,High Humidity,Year 1,5/25/19,Start,0:01,26
A04,1,High Humidity,Year 1,5/25/19,Start,4:01,23.5
C10,3,High Humidity,Year 1,5/25/19,Start,4:01,24
J07,5,High Humidity,Year 1,5/25/19,Start,4:01,24
A04,1,High Humidity,Year 1,5/25/19,Start,8:01,26.5
C10,3,High Humidity,Year 1,5/25/19,Start,8:01,26.5
J07,5,High Humidity,Year 1,5/25/19,Start,8:01,28.5
A04,1,High Humidity,Year 1,5/25/19,Start,12:01,45
C10,3,High Humidity,Year 1,5/25/19,Start,12:01,38.5
J07,5,High Humidity,Year 1,5/25/19,Start,12:01,44
A04,1,High Humidity,Year 1,5/25/19,Start,16:01,53.5
C10,3,High Humidity,Year 1,5/25/19,Start,16:01,47.5
J07,5,High Humidity,Year 1,5/25/19,Start,16:01,47.5
A04,1,High Humidity,Year 1,5/25/19,Start,20:01,33.5
C10,3,High Humidity,Year 1,5/25/19,Start,20:01,33.5
J07,5,High Humidity,Year 1,5/25/19,Start,20:01,33.5
A09,3,Native Soil,Year 1,5/25/19,Start,0:01,26
D02,1,Native Soil,Year 1,5/25/19,Start,0:01,27
J09,5,Native Soil,Year 1,5/25/19,Start,0:01,27.5
A09,3,Native Soil,Year 1,5/25/19,Start,4:01,23.5
D02,1,Native Soil,Year 1,5/25/19,Start,4:01,24.5
J09,5,Native Soil,Year 1,5/25/19,Start,4:01,25
A09,3,Native Soil,Year 1,5/25/19,Start,8:01,27
D02,1,Native Soil,Year 1,5/25/19,Start,8:01,26.5
J09,5,Native Soil,Year 1,5/25/19,Start,8:01,26
A09,3,Native Soil,Year 1,5/25/19,Start,12:01,40.5
D02,1,Native Soil,Year 1,5/25/19,Start,12:01,40
J09,5,Native Soil,Year 1,5/25/19,Start,12:01,38.5
A09,3,Native Soil,Year 1,5/25/19,Start,16:01,46.5
D02,1,Native Soil,Year 1,5/25/19,Start,16:01,44.5
J09,5,Native Soil,Year 1,5/25/19,Start,16:01,45.5
A09,3,Native Soil,Year 1,5/25/19,Start,20:01,33
D02,1,Native Soil,Year 1,5/25/19,Start,20:01,34
J09,5,Native Soil,Year 1,5/25/19,Start,20:01,33.5
B01,1,Control,Year 1,5/26/19,Start,0:01,28
D13,3,Control,Year 1,5/26/19,Start,0:01,27.5
G05,5,Control,Year 1,5/26/19,Start,0:01,29
K04,7,Control,Year 1,5/26/19,Start,0:01,27
B01,1,Control,Year 1,5/26/19,Start,4:01,24
D13,3,Control,Year 1,5/26/19,Start,4:01,24
G05,5,Control,Year 1,5/26/19,Start,4:01,25
K04,7,Control,Year 1,5/26/19,Start,4:01,24.5
B01,1,Control,Year 1,5/26/19,Start,8:01,25.5
D13,3,Control,Year 1,5/26/19,Start,8:01,26.5
G05,5,Control,Year 1,5/26/19,Start,8:01,26.5
K04,7,Control,Year 1,5/26/19,Start,8:01,25.5
B01,1,Control,Year 1,5/26/19,Start,12:01,34.5
D13,3,Control,Year 1,5/26/19,Start,12:01,34.5
G05,5,Control,Year 1,5/26/19,Start,12:01,33
K04,7,Control,Year 1,5/26/19,Start,12:01,34.5
B01,1,Control,Year 1,5/26/19,Start,16:01,34.5
D13,3,Control,Year 1,5/26/19,Start,16:01,35
G05,5,Control,Year 1,5/26/19,Start,16:01,33.5
K04,7,Control,Year 1,5/26/19,Start,16:01,36
B01,1,Control,Year 1,5/26/19,Start,20:01,28.5
D13,3,Control,Year 1,5/26/19,Start,20:01,28
G05,5,Control,Year 1,5/26/19,Start,20:01,28.5
K04,7,Control,Year 1,5/26/19,Start,20:01,28.5
A04,1,High Humidity,Year 1,5/26/19,Start,0:01,28.5
C10,3,High Humidity,Year 1,5/26/19,Start,0:01,29
J07,5,High Humidity,Year 1,5/26/19,Start,0:01,29
A04,1,High Humidity,Year 1,5/26/19,Start,4:01,24
C10,3,High Humidity,Year 1,5/26/19,Start,4:01,24.5
J07,5,High Humidity,Year 1,5/26/19,Start,4:01,25
A04,1,High Humidity,Year 1,5/26/19,Start,8:01,26.5
C10,3,High Humidity,Year 1,5/26/19,Start,8:01,27
J07,5,High Humidity,Year 1,5/26/19,Start,8:01,30
A04,1,High Humidity,Year 1,5/26/19,Start,12:01,37.5
C10,3,High Humidity,Year 1,5/26/19,Start,12:01,34.5
J07,5,High Humidity,Year 1,5/26/19,Start,12:01,38
A04,1,High Humidity,Year 1,5/26/19,Start,16:01,42
C10,3,High Humidity,Year 1,5/26/19,Start,16:01,36
J07,5,High Humidity,Year 1,5/26/19,Start,16:01,43
A04,1,High Humidity,Year 1,5/26/19,Start,20:01,32
C10,3,High Humidity,Year 1,5/26/19,Start,20:01,30.5
J07,5,High Humidity,Year 1,5/26/19,Start,20:01,32.5
A09,3,Native Soil,Year 1,5/26/19,Start,0:01,28
D02,1,Native Soil,Year 1,5/26/19,Start,0:01,29
J09,5,Native Soil,Year 1,5/26/19,Start,0:01,29
A09,3,Native Soil,Year 1,5/26/19,Start,4:01,24.5
D02,1,Native Soil,Year 1,5/26/19,Start,4:01,25
J09,5,Native Soil,Year 1,5/26/19,Start,4:01,25.5
A09,3,Native Soil,Year 1,5/26/19,Start,8:01,26.5
D02,1,Native Soil,Year 1,5/26/19,Start,8:01,26.5
J09,5,Native Soil,Year 1,5/26/19,Start,8:01,26
A09,3,Native Soil,Year 1,5/26/19,Start,12:01,34.5
D02,1,Native Soil,Year 1,5/26/19,Start,12:01,35
J09,5,Native Soil,Year 1,5/26/19,Start,12:01,36
A09,3,Native Soil,Year 1,5/26/19,Start,16:01,39
D02,1,Native Soil,Year 1,5/26/19,Start,16:01,38.5
J09,5,Native Soil,Year 1,5/26/19,Start,16:01,40.5
A09,3,Native Soil,Year 1,5/26/19,Start,20:01,30.5
D02,1,Native Soil,Year 1,5/26/19,Start,20:01,31.5
J09,5,Native Soil,Year 1,5/26/19,Start,20:01,31
B01,1,Control,Year 1,5/27/19,Start,0:01,24.5
D13,3,Control,Year 1,5/27/19,Start,0:01,24
G05,5,Control,Year 1,5/27/19,Start,0:01,25.5
K04,7,Control,Year 1,5/27/19,Start,0:01,24.5
B01,1,Control,Year 1,5/27/19,Start,4:01,23.5
D13,3,Control,Year 1,5/27/19,Start,4:01,23.5
G05,5,Control,Year 1,5/27/19,Start,4:01,24.5
K04,7,Control,Year 1,5/27/19,Start,4:01,24
B01,1,Control,Year 1,5/27/19,Start,8:01,25
D13,3,Control,Year 1,5/27/19,Start,8:01,25.5
G05,5,Control,Year 1,5/27/19,Start,8:01,26.5
K04,7,Control,Year 1,5/27/19,Start,8:01,24.5
B01,1,Control,Year 1,5/27/19,Start,12:01,33
D13,3,Control,Year 1,5/27/19,Start,12:01,32.5
G05,5,Control,Year 1,5/27/19,Start,12:01,31.5
K04,7,Control,Year 1,5/27/19,Start,12:01,33
B01,1,Control,Year 1,5/27/19,Start,16:01,33.5
D13,3,Control,Year 1,5/27/19,Start,16:01,33.5
G05,5,Control,Year 1,5/27/19,Start,16:01,32
K04,7,Control,Year 1,5/27/19,Start,16:01,33.5
B01,1,Control,Year 1,5/27/19,Start,20:01,28.5
D13,3,Control,Year 1,5/27/19,Start,20:01,29
G05,5,Control,Year 1,5/27/19,Start,20:01,28
K04,7,Control,Year 1,5/27/19,Start,20:01,28
A04,1,High Humidity,Year 1,5/27/19,Start,0:01,25.5
C10,3,High Humidity,Year 1,5/27/19,Start,0:01,25.5
J07,5,High Humidity,Year 1,5/27/19,Start,0:01,26
A04,1,High Humidity,Year 1,5/27/19,Start,4:01,24.5
C10,3,High Humidity,Year 1,5/27/19,Start,4:01,24.5
J07,5,High Humidity,Year 1,5/27/19,Start,4:01,25
A04,1,High Humidity,Year 1,5/27/19,Start,8:01,26.5
C10,3,High Humidity,Year 1,5/27/19,Start,8:01,26.5
J07,5,High Humidity,Year 1,5/27/19,Start,8:01,29.5
A04,1,High Humidity,Year 1,5/27/19,Start,12:01,43.5
C10,3,High Humidity,Year 1,5/27/19,Start,12:01,37
J07,5,High Humidity,Year 1,5/27/19,Start,12:01,44
A04,1,High Humidity,Year 1,5/27/19,Start,16:01,47
C10,3,High Humidity,Year 1,5/27/19,Start,16:01,44
J07,5,High Humidity,Year 1,5/27/19,Start,16:01,44.5
A04,1,High Humidity,Year 1,5/27/19,Start,20:01,32
C10,3,High Humidity,Year 1,5/27/19,Start,20:01,32.5
J07,5,High Humidity,Year 1,5/27/19,Start,20:01,33
A09,3,Native Soil,Year 1,5/27/19,Start,0:01,25
D02,1,Native Soil,Year 1,5/27/19,Start,0:01,26
J09,5,Native Soil,Year 1,5/27/19,Start,0:01,26
A09,3,Native Soil,Year 1,5/27/19,Start,4:01,24
D02,1,Native Soil,Year 1,5/27/19,Start,4:01,24.5
J09,5,Native Soil,Year 1,5/27/19,Start,4:01,25
A09,3,Native Soil,Year 1,5/27/19,Start,8:01,26
D02,1,Native Soil,Year 1,5/27/19,Start,8:01,26
J09,5,Native Soil,Year 1,5/27/19,Start,8:01,25
A09,3,Native Soil,Year 1,5/27/19,Start,12:01,36.5
D02,1,Native Soil,Year 1,5/27/19,Start,12:01,36
J09,5,Native Soil,Year 1,5/27/19,Start,12:01,36.5
A09,3,Native Soil,Year 1,5/27/19,Start,16:01,40
D02,1,Native Soil,Year 1,5/27/19,Start,16:01,40
J09,5,Native Soil,Year 1,5/27/19,Start,16:01,39.5
A09,3,Native Soil,Year 1,5/27/19,Start,20:01,31.5
D02,1,Native Soil,Year 1,5/27/19,Start,20:01,32.5
J09,5,Native Soil,Year 1,5/27/19,Start,20:01,32
B01,1,Control,Year 1,5/28/19,Start,0:01,25
D13,3,Control,Year 1,5/28/19,Start,0:01,25
