Station,PopID,Block,Treatment,Year,Date,Month,Time,Data.SWC
4,Probe 1_L3,7,Native Soil,Year 3,6/1/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/1/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/2/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/2/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/1/21,End,0:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/1/21,End,4:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/1/21,End,8:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/1/21,End,20:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/2/21,End,8:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/3/21,End,0:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/3/21,End,4:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/3/21,End,8:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/6/21,End,4:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/6/21,End,8:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/6/21,End,20:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/7/21,End,8:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/7/21,End,20:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/8/21,End,8:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/8/21,End,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/9/21,Start,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/9/21,Start,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/10/21,Start,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/10/21,Start,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/10/21,Start,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/11/21,Start,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/11/21,Start,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/11/21,Start,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/12/21,Start,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/13/21,Start,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/15/21,Start,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/16/21,Start,16:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/17/21,Start,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/18/21,Start,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/19/21,Start,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/19/21,Start,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/20/21,Start,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/21/21,Start,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/22/21,Start,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/23/21,Start,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/24/21,Start,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/25/21,Start,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/25/21,Start,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/26/21,Start,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/26/21,Start,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/27/21,Start,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/27/21,Start,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/28/21,Start,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/30/21,Start,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/30/21,Start,12:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/30/21,Start,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/31/21,Start,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/31/21,Start,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/31/21,Start,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/31/21,Start,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/1/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/1/21,June,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/2/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/2/21,June,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/3/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/3/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/3/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/16/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/17/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/17/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/17/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/18/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/18/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/18/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/19/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/19/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/20/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/20/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/3/21,Aug,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/4/21,Aug,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/4/21,Aug,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/5/21,Aug,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/5/21,Aug,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/5/21,Aug,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/6/21,Aug,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/6/21,Aug,8:00,0
4,Probe 1_L3,7,Native Soil,Year 2,4/30/21,April,20:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/2/21,End,20:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/3/21,End,12:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/3/21,End,20:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/4/21,End,0:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/4/21,End,4:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/4/21,End,8:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/5/21,End,4:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/5/21,End,8:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/6/21,End,0:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/6/21,End,12:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/7/21,End,12:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/7/21,End,16:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/8/21,End,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/9/21,Start,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/10/21,Start,12:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/10/21,Start,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/11/21,Start,16:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/13/21,Start,16:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/17/21,Start,16:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/18/21,Start,16:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/25/21,Start,12:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/29/21,Start,16:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/30/21,Start,16:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/31/21,Start,12:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/5/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/5/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/5/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/5/21,June,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/6/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/6/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/6/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/7/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/7/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/7/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/8/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/8/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/8/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/9/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/9/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/9/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/10/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/10/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/13/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/14/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/14/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/15/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/15/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/16/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/16/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/16/21,June,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/17/21,June,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/18/21,June,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/19/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/20/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/22/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/25/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/25/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/25/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/1/21,July,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/5/21,July,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/7/21,July,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/14/21,July,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/24/21,July,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/26/21,July,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/29/21,July,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/29/21,July,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/29/21,July,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/30/21,July,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/30/21,July,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/31/21,July,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/31/21,July,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/31/21,July,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/1/21,Aug,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/1/21,Aug,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/1/21,Aug,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/2/21,Aug,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/2/21,Aug,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/2/21,Aug,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/3/21,Aug,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/3/21,Aug,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/3/21,Aug,16:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/3/21,Aug,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/4/21,Aug,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/4/21,Aug,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/5/21,Aug,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/6/21,Aug,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/6/21,Aug,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/7/21,Aug,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/7/21,Aug,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/9/21,Aug,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/12/21,Aug,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/13/21,Aug,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/14/21,Aug,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/15/21,Aug,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/15/21,Aug,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/27/21,Aug,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/28/21,Aug,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/29/21,Aug,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,8/29/21,Aug,8:00,0
4,Probe 1_L3,7,Native Soil,Year 2,4/30/21,April,0:00,0
4,Probe 1_L3,7,Native Soil,Year 2,4/30/21,April,4:00,0
4,Probe 1_L3,7,Native Soil,Year 2,4/30/21,April,8:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/3/21,End,16:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/4/21,End,16:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/4/21,End,20:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/5/21,End,0:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/5/21,End,20:00,0
4,Probe 1_L3,7,Native Soil,Year 2,5/6/21,End,16:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/10/21,Start,16:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/11/21,Start,12:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/13/21,Start,12:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/14/21,Start,12:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/14/21,Start,16:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/17/21,Start,12:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/18/21,Start,12:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/19/21,Start,16:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/22/21,Start,12:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/22/21,Start,16:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/24/21,Start,16:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/28/21,Start,16:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/29/21,Start,12:00,0
4,Probe 1_L3,7,Native Soil,Year 3,5/31/21,Start,16:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/1/21,June,16:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/2/21,June,12:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/2/21,June,16:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/3/21,June,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/4/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/4/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/4/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/4/21,June,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/6/21,June,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/7/21,June,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/8/21,June,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/9/21,June,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/10/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/10/21,June,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/12/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/12/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/12/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/12/21,June,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/13/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/13/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/13/21,June,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/14/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/15/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/15/21,June,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/19/21,June,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/20/21,June,12:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/20/21,June,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/21/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/21/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/21/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/21/21,June,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/22/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/22/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/22/21,June,12:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/24/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/24/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/24/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/24/21,June,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/25/21,June,12:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/25/21,June,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/26/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/26/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/26/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/29/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/30/21,June,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/30/21,June,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,6/30/21,June,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/1/21,July,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/1/21,July,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/2/21,July,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/2/21,July,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/3/21,July,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/3/21,July,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/4/21,July,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/4/21,July,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/4/21,July,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/4/21,July,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/5/21,July,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/5/21,July,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/6/21,July,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/6/21,July,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/6/21,July,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/7/21,July,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/7/21,July,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/8/21,July,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/8/21,July,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/8/21,July,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/14/21,July,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/14/21,July,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/18/21,July,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/18/21,July,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/18/21,July,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/18/21,July,20:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/22/21,July,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/22/21,July,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/23/21,July,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/23/21,July,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/23/21,July,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/24/21,July,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/24/21,July,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/25/21,July,0:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/25/21,July,4:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/25/21,July,8:00,0
4,Probe 1_L3,7,Native Soil,Year 3,7/26/21,July,0:00,0
