PopId,Block,RILSet,Dormancy,Envt,Year,Totalrosettes,Totalsdls,SurvtoRose
D_10,3,Italy x Sweden,Mixed,Litter,3,3,7,0.42857142857142855
D_11,3,Germany x Tajikistan,Non-Dormant,Control,1,0,4,0
D_11,3,Germany x Tajikistan,Non-Dormant,Control,2,0,11,0
D_11,3,Germany x Tajikistan,Non-Dormant,Control,3,0,0,NA
D_12,3,Germany x Tajikistan,Dormant,Litter,1,0,0,NA
D_12,3,Germany x Tajikistan,Dormant,Litter,2,0,0,NA
D_13,3,Italy x Sweden,Dormant,Control,1,4,5,0.8
D_13,3,Italy x Sweden,Dormant,Control,2,0,2,0
D_13,3,Italy x Sweden,Dormant,Control,3,26,42,0.6190476190476191
D_2,1,Italy x Sweden,Non-Dormant,Native Soil,1,27,51,0.5294117647058824
D_2,1,Italy x Sweden,Non-Dormant,Native Soil,2,4,8,0.5
D_2,1,Italy x Sweden,Non-Dormant,Native Soil,3,1,2,0.5
D_3,1,Italy x Sweden,Mixed,Native Soil,1,25,26,0.9615384615384616
D_3,1,Italy x Sweden,Mixed,Native Soil,2,2,7,0.2857142857142857
D_3,1,Italy x Sweden,Mixed,Native Soil,3,0,0,NA
D_4,1,UK x USA,Non-Dormant,Control,1,0,6,0
D_4,1,UK x USA,Non-Dormant,Control,2,0,17,0
D_4,1,UK x USA,Non-Dormant,Control,3,0,0,NA
D_5,2,Italy x Sweden,Mixed,High Humidity,1,24,49,0.4897959183673469
D_5,2,Italy x Sweden,Mixed,High Humidity,2,99,239,0.41422594142259417
D_5,2,Italy x Sweden,Mixed,High Humidity,3,93,119,0.7815126050420168
D_6,2,Italy x Sweden,Dormant,High Humidity,1,23,29,0.7931034482758621
D_6,2,Italy x Sweden,Dormant,High Humidity,2,9,103,0.08737864077669903
D_6,2,Italy x Sweden,Dormant,High Humidity,3,148,167,0.8862275449101796
D_8,2,Italy x Sweden,Non-Dormant,Litter,1,2,11,0.18181818181818182
D_8,2,Italy x Sweden,Non-Dormant,Litter,2,4,57,0.07017543859649122
D_8,2,Italy x Sweden,Non-Dormant,Litter,3,68,149,0.4563758389261745
D_9,3,Italy x Sweden,Non-Dormant,Control,1,1,28,0.03571428571428571
D_9,3,Italy x Sweden,Non-Dormant,Control,2,0,2,0
D_9,3,Italy x Sweden,Non-Dormant,Control,3,5,11,0.45454545454545453
E_1,4,Italy x Sweden,Non-Dormant,Native Soil,1,28,35,0.8
E_1,4,Italy x Sweden,Non-Dormant,Native Soil,2,0,3,0
E_1,4,Italy x Sweden,Non-Dormant,Native Soil,3,0,3,0
E_10,6,Germany x Tajikistan,Mixed,Control,1,0,0,NA
E_10,6,Germany x Tajikistan,Mixed,Control,2,0,16,0
E_10,6,Germany x Tajikistan,Mixed,Control,3,7,10,0.7
E_11,6,Italy x Sweden,Dormant,Control,1,0,0,NA
E_11,6,Italy x Sweden,Dormant,Control,2,0,1,0
E_11,6,Italy x Sweden,Dormant,Control,3,0,2,0
E_12,6,Italy x Sweden,Mixed,Control,1,0,3,0
E_12,6,Italy x Sweden,Mixed,Control,2,0,7,0
E_12,6,Italy x Sweden,Mixed,Control,3,22,32,0.6875
E_13,3,Italy x Sweden,Non-Dormant,High Humidity,1,2,15,0.13333333333333333
E_13,3,Italy x Sweden,Non-Dormant,High Humidity,2,0,89,0
E_13,3,Italy x Sweden,Non-Dormant,High Humidity,3,3,3,1
E_2,4,Italy x Sweden,Mixed,Control,1,13,38,0.34210526315789475
E_2,4,Italy x Sweden,Mixed,Control,2,0,54,0
E_2,4,Italy x Sweden,Mixed,Control,3,186,254,0.7322834645669292
E_3,4,Italy x Sweden,Non-Dormant,Control,1,3,21,0.14285714285714285
E_3,4,Italy x Sweden,Non-Dormant,Control,2,0,61,0
E_3,4,Italy x Sweden,Non-Dormant,Control,3,44,64,0.6875
E_4,4,Germany x Tajikistan,Non-Dormant,Litter,1,0,8,0
E_4,4,Germany x Tajikistan,Non-Dormant,Litter,2,0,13,0
E_5,2,Germany x Tajikistan,Non-Dormant,Litter,1,0,1,0
E_5,2,Germany x Tajikistan,Non-Dormant,Litter,2,0,25,0
E_7,2,Italy x Sweden,Dormant,Litter,1,1,16,0.0625
E_7,2,Italy x Sweden,Dormant,Litter,2,0,23,0
E_7,2,Italy x Sweden,Dormant,Litter,3,14,14,1
E_8,2,Italy x Sweden,Non-Dormant,Control,1,0,4,0
E_8,2,Italy x Sweden,Non-Dormant,Control,2,0,11,0
E_8,2,Italy x Sweden,Non-Dormant,Control,3,0,0,NA
E_9,6,Italy x Sweden,Dormant,Native Soil,1,8,8,1
E_9,6,Italy x Sweden,Dormant,Native Soil,2,8,39,0.20512820512820512
E_9,6,Italy x Sweden,Dormant,Native Soil,3,51,99,0.5151515151515151
F_1,4,Germany x Tajikistan,Dormant,Control,1,4,7,0.5714285714285714
F_1,4,Germany x Tajikistan,Dormant,Control,2,0,42,0
F_1,4,Germany x Tajikistan,Dormant,Control,3,3,7,0.42857142857142855
F_10,6,Germany x Tajikistan,Dormant,Control,1,2,8,0.25
F_10,6,Germany x Tajikistan,Dormant,Control,2,0,12,0
F_10,6,Germany x Tajikistan,Dormant,Control,3,0,0,NA
F_11,6,UK x USA,Mixed,Control,1,0,0,NA
F_11,6,UK x USA,Mixed,Control,2,0,1,0
F_11,6,UK x USA,Mixed,Control,3,15,50,0.3
F_12,6,Italy x Sweden,Non-Dormant,Native Soil,1,7,12,0.5833333333333334
F_12,6,Italy x Sweden,Non-Dormant,Native Soil,2,0,67,0
F_12,6,Italy x Sweden,Non-Dormant,Native Soil,3,3,3,1
F_13,6,Germany x Tajikistan,Dormant,Litter,1,0,0,NA
F_13,6,Germany x Tajikistan,Dormant,Litter,2,0,0,NA
F_2,4,UK x USA,Non-Dormant,Control,1,3,8,0.375
F_2,4,UK x USA,Non-Dormant,Control,2,0,36,0
F_2,4,UK x USA,Non-Dormant,Control,3,0,1,0
F_3,4,Italy x Sweden,Dormant,High Humidity,1,38,63,0.6031746031746031
F_3,4,Italy x Sweden,Dormant,High Humidity,2,0,206,0
F_3,4,Italy x Sweden,Dormant,High Humidity,3,352,638,0.5517241379310345
F_4,4,Italy x Sweden,Mixed,High Humidity,1,27,37,0.7297297297297297
F_4,4,Italy x Sweden,Mixed,High Humidity,2,7,280,0.025
F_4,4,Italy x Sweden,Mixed,High Humidity,3,326,407,0.800982800982801
F_6,2,Italy x Sweden,Dormant,Native Soil,1,15,28,0.5357142857142857
F_6,2,Italy x Sweden,Dormant,Native Soil,2,15,54,0.2777777777777778
F_6,2,Italy x Sweden,Dormant,Native Soil,3,25,36,0.6944444444444444
F_7,2,Germany x Tajikistan,Mixed,Control,1,0,7,0
F_7,2,Germany x Tajikistan,Mixed,Control,2,0,151,0
F_7,2,Germany x Tajikistan,Mixed,Control,3,0,0,NA
F_8,2,Italy x Sweden,Non-Dormant,Native Soil,1,16,20,0.8
F_8,2,Italy x Sweden,Non-Dormant,Native Soil,2,0,56,0
F_8,2,Italy x Sweden,Non-Dormant,Native Soil,3,2,10,0.2
F_9,6,Italy x Sweden,Non-Dormant,Control,1,1,3,0.3333333333333333
F_9,6,Italy x Sweden,Non-Dormant,Control,2,0,0,NA
F_9,6,Italy x Sweden,Non-Dormant,Control,3,4,5,0.8
G_1,4,Germany x Tajikistan,Non-Dormant,Control,1,0,7,0
G_1,4,Germany x Tajikistan,Non-Dormant,Control,2,0,11,0
G_1,4,Germany x Tajikistan,Non-Dormant,Control,3,0,0,NA
G_10,6,Italy x Sweden,Mixed,Litter,1,1,10,0.1
G_10,6,Italy x Sweden,Mixed,Litter,2,0,0,NA
G_10,6,Italy x Sweden,Mixed,Litter,3,10,26,0.38461538461538464
G_11,6,Italy x Sweden,Mixed,Native Soil,1,6,10,0.6
G_11,6,Italy x Sweden,Mixed,Native Soil,2,60,91,0.6593406593406593
G_11,6,Italy x Sweden,Mixed,Native Soil,3,7,12,0.5833333333333334
G_12,6,UK x USA,Dormant,Control,1,0,3,0
G_12,6,UK x USA,Dormant,Control,2,0,75,0
G_12,6,UK x USA,Dormant,Control,3,14,21,0.6666666666666666
G_13,6,Germany x Tajikistan,Non-Dormant,Litter,1,0,0,NA
G_13,6,Germany x Tajikistan,Non-Dormant,Litter,2,0,0,NA
G_2,4,Italy x Sweden,Dormant,Control,1,1,5,0.2
G_2,4,Italy x Sweden,Dormant,Control,2,0,23,0
G_2,4,Italy x Sweden,Dormant,Control,3,209,335,0.6238805970149254
G_3,4,Italy x Sweden,Mixed,Litter,1,9,18,0.5
G_3,4,Italy x Sweden,Mixed,Litter,2,0,9,0
G_3,4,Italy x Sweden,Mixed,Litter,3,141,244,0.5778688524590164
G_5,5,Italy x Sweden,Dormant,Control,1,0,6,0
G_5,5,Italy x Sweden,Dormant,Control,2,0,186,0
G_5,5,Italy x Sweden,Dormant,Control,3,43,202,0.21287128712871287
G_6,5,UK x USA,Mixed,Control,1,0,22,0
G_6,5,UK x USA,Mixed,Control,2,0,11,0
G_6,5,UK x USA,Mixed,Control,3,2,16,0.125
G_7,5,Italy x Sweden,Mixed,Control,1,1,4,0.25
G_7,5,Italy x Sweden,Mixed,Control,2,0,5,0
G_7,5,Italy x Sweden,Mixed,Control,3,4,28,0.14285714285714285
G_8,5,Germany x Tajikistan,Dormant,Control,1,0,0,NA
G_8,5,Germany x Tajikistan,Dormant,Control,2,0,28,0
G_8,5,Germany x Tajikistan,Dormant,Control,3,0,3,0
G_9,6,Italy x Sweden,Dormant,High Humidity,1,2,19,0.10526315789473684
G_9,6,Italy x Sweden,Dormant,High Humidity,2,0,16,0
G_9,6,Italy x Sweden,Dormant,High Humidity,3,90,161,0.5590062111801242
H_1,4,UK x USA,Dormant,Control,1,0,1,0
H_1,4,UK x USA,Dormant,Control,2,0,9,0
H_1,4,UK x USA,Dormant,Control,3,8,25,0.32
H_10,6,Italy x Sweden,Mixed,High Humidity,1,29,50,0.58
H_10,6,Italy x Sweden,Mixed,High Humidity,2,0,133,0
H_10,6,Italy x Sweden,Mixed,High Humidity,3,124,268,0.4626865671641791
H_11,6,UK x USA,Non-Dormant,Control,1,0,0,NA
H_11,6,UK x USA,Non-Dormant,Control,2,1,56,0.017857142857142856
H_11,6,UK x USA,Non-Dormant,Control,3,0,0,NA
H_12,6,Italy x Sweden,Dormant,Litter,1,0,7,0
H_12,6,Italy x Sweden,Dormant,Litter,2,0,4,0
H_12,6,Italy x Sweden,Dormant,Litter,3,2,4,0.5
H_2,4,Italy x Sweden,Non-Dormant,Litter,1,0,3,0
H_2,4,Italy x Sweden,Non-Dormant,Litter,2,0,0,NA
H_2,4,Italy x Sweden,Non-Dormant,Litter,3,3,5,0.6
H_4,4,Germany x Tajikistan,Dormant,Litter,1,0,1,0
H_4,4,Germany x Tajikistan,Dormant,Litter,2,0,0,NA
H_5,5,UK x USA,Dormant,Control,1,2,6,0.3333333333333333
H_5,5,UK x USA,Dormant,Control,2,0,2,0
H_5,5,UK x USA,Dormant,Control,3,17,33,0.5151515151515151
H_6,5,Italy x Sweden,Non-Dormant,Litter,1,0,5,0
H_6,5,Italy x Sweden,Non-Dormant,Litter,2,0,5,0
H_6,5,Italy x Sweden,Non-Dormant,Litter,3,1,1,1
H_7,5,Italy x Sweden,Non-Dormant,Control,1,1,4,0.25
H_7,5,Italy x Sweden,Non-Dormant,Control,2,0,48,0
H_7,5,Italy x Sweden,Non-Dormant,Control,3,0,1,0
H_8,5,Italy x Sweden,Dormant,Litter,1,1,3,0.3333333333333333
H_8,5,Italy x Sweden,Dormant,Litter,2,0,28,0
H_8,5,Italy x Sweden,Dormant,Litter,3,6,12,0.5
H_9,6,Germany x Tajikistan,Non-Dormant,Control,1,0,0,NA
H_9,6,Germany x Tajikistan,Non-Dormant,Control,2,2,122,0.01639344262295082
H_9,6,Germany x Tajikistan,Non-Dormant,Control,3,0,0,NA
I_1,4,Italy x Sweden,Non-Dormant,High Humidity,1,0,5,0
I_1,4,Italy x Sweden,Non-Dormant,High Humidity,2,0,0,NA
I_1,4,Italy x Sweden,Non-Dormant,High Humidity,3,1,8,0.125
I_10,5,Italy x Sweden,Mixed,Litter,1,0,9,0
I_10,5,Italy x Sweden,Mixed,Litter,2,0,62,0
I_10,5,Italy x Sweden,Mixed,Litter,3,3,6,0.5
I_11,6,Italy x Sweden,Non-Dormant,Litter,1,0,0,NA
I_11,6,Italy x Sweden,Non-Dormant,Litter,2,0,7,0
I_11,6,Italy x Sweden,Non-Dormant,Litter,3,1,1,1
I_12,6,Italy x Sweden,Non-Dormant,High Humidity,1,1,16,0.0625
I_12,6,Italy x Sweden,Non-Dormant,High Humidity,2,0,16,0
I_12,6,Italy x Sweden,Non-Dormant,High Humidity,3,1,2,0.5
I_3,4,Germany x Tajikistan,Mixed,Control,1,5,9,0.5555555555555556
I_3,4,Germany x Tajikistan,Mixed,Control,2,0,0,NA
I_3,4,Germany x Tajikistan,Mixed,Control,3,0,0,NA
I_4,4,Italy x Sweden,Dormant,Litter,1,0,0,NA
I_4,4,Italy x Sweden,Dormant,Litter,2,0,0,NA
I_4,4,Italy x Sweden,Dormant,Litter,3,27,57,0.47368421052631576
I_5,5,Germany x Tajikistan,Non-Dormant,Control,1,0,7,0
I_5,5,Germany x Tajikistan,Non-Dormant,Control,2,0,4,0
I_5,5,Germany x Tajikistan,Non-Dormant,Control,3,0,0,NA
I_6,5,Germany x Tajikistan,Dormant,Litter,1,0,12,0
I_6,5,Germany x Tajikistan,Dormant,Litter,2,0,0,NA
I_7,5,Italy x Sweden,Non-Dormant,High Humidity,1,0,3,0
I_7,5,Italy x Sweden,Non-Dormant,High Humidity,2,0,35,0
I_7,5,Italy x Sweden,Non-Dormant,High Humidity,3,0,0,NA
I_8,5,Germany x Tajikistan,Non-Dormant,Litter,1,0,8,0
I_8,5,Germany x Tajikistan,Non-Dormant,Litter,2,0,0,NA
I_9,5,Italy x Sweden,Mixed,High Humidity,1,0,20,0
I_9,5,Italy x Sweden,Mixed,High Humidity,2,0,120,0
I_9,5,Italy x Sweden,Mixed,High Humidity,3,1,4,0.25
J_10,5,UK x USA,Non-Dormant,Control,1,0,0,NA
J_10,5,UK x USA,Non-Dormant,Control,2,0,70,0
J_10,5,UK x USA,Non-Dormant,Control,3,1,2,0.5
J_11,8,Italy x Sweden,Dormant,High Humidity,1,1,5,0.2
J_11,8,Italy x Sweden,Dormant,High Humidity,2,0,3,0
J_11,8,Italy x Sweden,Dormant,High Humidity,3,29,42,0.6904761904761905
J_12,8,Italy x Sweden,Non-Dormant,Control,1,0,4,0
J_12,8,Italy x Sweden,Non-Dormant,Control,2,0,6,0
J_12,8,Italy x Sweden,Non-Dormant,Control,3,0,2,0
J_2,4,Italy x Sweden,Dormant,Native Soil,1,18,24,0.75
J_2,4,Italy x Sweden,Dormant,Native Soil,2,19,41,0.4634146341463415
J_2,4,Italy x Sweden,Dormant,Native Soil,3,8,78,0.10256410256410256
J_3,4,UK x USA,Mixed,Control,1,0,11,0
J_3,4,UK x USA,Mixed,Control,2,0,1,0
J_3,4,UK x USA,Mixed,Control,3,4,21,0.19047619047619047
J_4,4,Italy x Sweden,Mixed,Native Soil,1,7,10,0.7
J_4,4,Italy x Sweden,Mixed,Native Soil,2,0,72,0
J_4,4,Italy x Sweden,Mixed,Native Soil,3,28,76,0.3684210526315789
J_5,5,Italy x Sweden,Dormant,Native Soil,1,25,26,0.9615384615384616
J_5,5,Italy x Sweden,Dormant,Native Soil,2,0,130,0
J_5,5,Italy x Sweden,Dormant,Native Soil,3,29,88,0.32954545454545453
J_6,5,Italy x Sweden,Non-Dormant,Native Soil,1,4,8,0.5
J_6,5,Italy x Sweden,Non-Dormant,Native Soil,2,0,7,0
J_6,5,Italy x Sweden,Non-Dormant,Native Soil,3,3,3,1
J_7,5,Italy x Sweden,Dormant,High Humidity,1,3,10,0.3
J_7,5,Italy x Sweden,Dormant,High Humidity,2,0,3,0
J_7,5,Italy x Sweden,Dormant,High Humidity,3,15,45,0.3333333333333333
J_8,5,Germany x Tajikistan,Mixed,Control,1,1,1,1
J_8,5,Germany x Tajikistan,Mixed,Control,2,0,10,0
J_8,5,Germany x Tajikistan,Mixed,Control,3,0,0,NA
J_9,5,Italy x Sweden,Mixed,Native Soil,1,17,23,0.7391304347826086
J_9,5,Italy x Sweden,Mixed,Native Soil,2,9,156,0.057692307692307696
J_9,5,Italy x Sweden,Mixed,Native Soil,3,71,182,0.3901098901098901
K_1,7,Italy x Sweden,Non-Dormant,Litter,1,0,0,NA
K_1,7,Italy x Sweden,Non-Dormant,Litter,2,0,5,0
K_1,7,Italy x Sweden,Non-Dormant,Litter,3,3,46,0.06521739130434782
K_10,8,Italy x Sweden,Non-Dormant,Litter,1,0,4,0
K_10,8,Italy x Sweden,Non-Dormant,Litter,2,0,15,0
K_10,8,Italy x Sweden,Non-Dormant,Litter,3,4,4,1
K_11,8,Italy x Sweden,Mixed,High Humidity,1,0,28,0
K_11,8,Italy x Sweden,Mixed,High Humidity,2,0,5,0
K_11,8,Italy x Sweden,Mixed,High Humidity,3,1,2,0.5
K_12,8,Italy x Sweden,Dormant,Litter,1,0,1,0
K_12,8,Italy x Sweden,Dormant,Litter,2,0,13,0
K_12,8,Italy x Sweden,Dormant,Litter,3,5,7,0.7142857142857143
K_13,8,Germany x Tajikistan,Mixed,Control,1,0,3,0
K_13,8,Germany x Tajikistan,Mixed,Control,2,0,2,0
K_13,8,Germany x Tajikistan,Mixed,Control,3,0,0,NA
K_2,7,UK x USA,Dormant,Control,1,0,3,0
K_2,7,UK x USA,Dormant,Control,2,0,70,0
K_2,7,UK x USA,Dormant,Control,3,4,15,0.26666666666666666
K_3,7,UK x USA,Mixed,Control,1,0,0,NA
K_3,7,UK x USA,Mixed,Control,2,0,54,0
K_3,7,UK x USA,Mixed,Control,3,0,0,NA
K_4,7,Italy x Sweden,Dormant,Control,1,0,0,NA
K_4,7,Italy x Sweden,Dormant,Control,2,0,256,0
K_4,7,Italy x Sweden,Dormant,Control,3,11,13,0.8461538461538461
K_5,7,Italy x Sweden,Non-Dormant,High Humidity,1,0,14,0
K_5,7,Italy x Sweden,Non-Dormant,High Humidity,2,0,3,0
K_5,7,Italy x Sweden,Non-Dormant,High Humidity,3,1,1,1
K_6,7,Italy x Sweden,Mixed,Litter,1,0,0,NA
K_6,7,Italy x Sweden,Mixed,Litter,2,0,2,0
K_6,7,Italy x Sweden,Mixed,Litter,3,1,1,1
K_7,7,Germany x Tajikistan,Mixed,Control,1,0,5,0
K_7,7,Germany x Tajikistan,Mixed,Control,2,0,27,0
K_7,7,Germany x Tajikistan,Mixed,Control,3,0,1,0
K_8,8,Italy x Sweden,Non-Dormant,High Humidity,1,0,1,0
K_8,8,Italy x Sweden,Non-Dormant,High Humidity,2,0,5,0
K_8,8,Italy x Sweden,Non-Dormant,High Humidity,3,0,3,0
