PopId,Block,RILSet,Dormancy,Envt,Year,TotalFRMD,Totalrosettes,RoseSurv
C_5,2,UK x USA,Non-Dormant,Control,2,0,0,NA
C_6,2,Germany x Tajikistan,Dormant,Control,1,0,1,0
C_6,2,Germany x Tajikistan,Dormant,Control,2,0,0,NA
C_7,2,Italy x Sweden,Dormant,Control,1,0,0,NA
C_7,2,Italy x Sweden,Dormant,Control,2,0,3,0
C_9,3,Italy x Sweden,Mixed,Control,1,0,0,NA
C_9,3,Italy x Sweden,Mixed,Control,2,0,0,NA
D_0,1,UK x USA,Mixed,Control,1,4,35,0.11428571428571428
D_0,1,UK x USA,Mixed,Control,2,0,0,NA
D_1,1,Germany x Tajikistan,Mixed,Control,1,0,0,NA
D_1,1,Germany x Tajikistan,Mixed,Control,2,0,0,NA
D_10,3,Italy x Sweden,Mixed,Litter,1,0,0,NA
D_10,3,Italy x Sweden,Mixed,Litter,2,0,0,NA
D_11,3,Germany x Tajikistan,Non-Dormant,Control,1,0,0,NA
D_11,3,Germany x Tajikistan,Non-Dormant,Control,2,0,0,NA
D_12,3,Germany x Tajikistan,Dormant,Litter,1,0,0,NA
D_12,3,Germany x Tajikistan,Dormant,Litter,2,0,0,NA
D_13,3,Italy x Sweden,Dormant,Control,1,1,4,0.25
D_13,3,Italy x Sweden,Dormant,Control,2,0,0,NA
D_2,1,Italy x Sweden,Non-Dormant,Native Soil,1,28,27,1
D_2,1,Italy x Sweden,Non-Dormant,Native Soil,2,0,4,0
D_3,1,Italy x Sweden,Mixed,Native Soil,1,43,25,1
D_3,1,Italy x Sweden,Mixed,Native Soil,2,2,2,1
D_4,1,UK x USA,Non-Dormant,Control,1,0,0,NA
D_4,1,UK x USA,Non-Dormant,Control,2,0,0,NA
D_5,2,Italy x Sweden,Mixed,High Humidity,1,18,24,0.75
D_5,2,Italy x Sweden,Mixed,High Humidity,2,2,99,0.020202020202020204
D_6,2,Italy x Sweden,Dormant,High Humidity,1,18,23,0.782608695652174
D_6,2,Italy x Sweden,Dormant,High Humidity,2,0,9,0
D_8,2,Italy x Sweden,Non-Dormant,Litter,1,3,2,1
D_8,2,Italy x Sweden,Non-Dormant,Litter,2,0,4,0
D_9,3,Italy x Sweden,Non-Dormant,Control,1,1,1,1
D_9,3,Italy x Sweden,Non-Dormant,Control,2,0,0,NA
E_1,4,Italy x Sweden,Non-Dormant,Native Soil,1,44,28,1
E_1,4,Italy x Sweden,Non-Dormant,Native Soil,2,0,0,NA
E_10,6,Germany x Tajikistan,Mixed,Control,1,0,0,NA
E_10,6,Germany x Tajikistan,Mixed,Control,2,0,0,NA
E_11,6,Italy x Sweden,Dormant,Control,1,0,0,NA
E_11,6,Italy x Sweden,Dormant,Control,2,0,0,NA
E_12,6,Italy x Sweden,Mixed,Control,1,0,0,NA
E_12,6,Italy x Sweden,Mixed,Control,2,0,0,NA
E_13,3,Italy x Sweden,Non-Dormant,High Humidity,1,0,2,0
E_13,3,Italy x Sweden,Non-Dormant,High Humidity,2,0,0,NA
E_2,4,Italy x Sweden,Mixed,Control,1,5,13,0.38461538461538464
E_2,4,Italy x Sweden,Mixed,Control,2,0,0,NA
E_3,4,Italy x Sweden,Non-Dormant,Control,1,1,3,0.3333333333333333
E_3,4,Italy x Sweden,Non-Dormant,Control,2,0,0,NA
E_4,4,Germany x Tajikistan,Non-Dormant,Litter,1,0,0,NA
E_4,4,Germany x Tajikistan,Non-Dormant,Litter,2,0,0,NA
E_5,2,Germany x Tajikistan,Non-Dormant,Litter,1,0,0,NA
E_5,2,Germany x Tajikistan,Non-Dormant,Litter,2,0,0,NA
E_7,2,Italy x Sweden,Dormant,Litter,1,0,1,0
E_7,2,Italy x Sweden,Dormant,Litter,2,0,0,NA
E_8,2,Italy x Sweden,Non-Dormant,Control,1,0,0,NA
E_8,2,Italy x Sweden,Non-Dormant,Control,2,0,0,NA
E_9,6,Italy x Sweden,Dormant,Native Soil,1,9,8,1
E_9,6,Italy x Sweden,Dormant,Native Soil,2,0,8,0
F_1,4,Germany x Tajikistan,Dormant,Control,1,0,4,0
F_1,4,Germany x Tajikistan,Dormant,Control,2,0,0,NA
F_10,6,Germany x Tajikistan,Dormant,Control,1,0,2,0
F_10,6,Germany x Tajikistan,Dormant,Control,2,0,0,NA
F_11,6,UK x USA,Mixed,Control,1,0,0,NA
F_11,6,UK x USA,Mixed,Control,2,0,0,NA
F_12,6,Italy x Sweden,Non-Dormant,Native Soil,1,15,7,1
F_12,6,Italy x Sweden,Non-Dormant,Native Soil,2,2,0,NA
F_13,6,Germany x Tajikistan,Dormant,Litter,1,0,0,NA
F_13,6,Germany x Tajikistan,Dormant,Litter,2,0,0,NA
F_2,4,UK x USA,Non-Dormant,Control,1,1,3,0.3333333333333333
F_2,4,UK x USA,Non-Dormant,Control,2,0,0,NA
F_3,4,Italy x Sweden,Dormant,High Humidity,1,19,38,0.5
F_3,4,Italy x Sweden,Dormant,High Humidity,2,0,0,NA
F_4,4,Italy x Sweden,Mixed,High Humidity,1,11,27,0.4074074074074074
F_4,4,Italy x Sweden,Mixed,High Humidity,2,0,7,0
F_6,2,Italy x Sweden,Dormant,Native Soil,1,21,15,1
F_6,2,Italy x Sweden,Dormant,Native Soil,2,0,15,0
F_7,2,Germany x Tajikistan,Mixed,Control,1,0,0,NA
F_7,2,Germany x Tajikistan,Mixed,Control,2,0,0,NA
F_8,2,Italy x Sweden,Non-Dormant,Native Soil,1,14,16,0.875
F_8,2,Italy x Sweden,Non-Dormant,Native Soil,2,1,0,NA
F_9,6,Italy x Sweden,Non-Dormant,Control,1,0,1,0
F_9,6,Italy x Sweden,Non-Dormant,Control,2,0,0,NA
G_1,4,Germany x Tajikistan,Non-Dormant,Control,1,0,0,NA
G_1,4,Germany x Tajikistan,Non-Dormant,Control,2,0,0,NA
G_10,6,Italy x Sweden,Mixed,Litter,1,0,1,0
G_10,6,Italy x Sweden,Mixed,Litter,2,0,0,NA
G_11,6,Italy x Sweden,Mixed,Native Soil,1,21,6,1
G_11,6,Italy x Sweden,Mixed,Native Soil,2,0,60,0
G_12,6,UK x USA,Dormant,Control,1,0,0,NA
G_12,6,UK x USA,Dormant,Control,2,0,0,NA
G_13,6,Germany x Tajikistan,Non-Dormant,Litter,1,0,0,NA
G_13,6,Germany x Tajikistan,Non-Dormant,Litter,2,0,0,NA
G_2,4,Italy x Sweden,Dormant,Control,1,3,1,1
G_2,4,Italy x Sweden,Dormant,Control,2,0,0,NA
G_3,4,Italy x Sweden,Mixed,Litter,1,4,9,0.4444444444444444
G_3,4,Italy x Sweden,Mixed,Litter,2,0,0,NA
G_5,5,Italy x Sweden,Dormant,Control,1,0,0,NA
G_5,5,Italy x Sweden,Dormant,Control,2,0,0,NA
G_6,5,UK x USA,Mixed,Control,1,0,0,NA
G_6,5,UK x USA,Mixed,Control,2,0,0,NA
G_7,5,Italy x Sweden,Mixed,Control,1,1,1,1
G_7,5,Italy x Sweden,Mixed,Control,2,0,0,NA
G_8,5,Germany x Tajikistan,Dormant,Control,1,0,0,NA
G_8,5,Germany x Tajikistan,Dormant,Control,2,0,0,NA
G_9,6,Italy x Sweden,Dormant,High Humidity,1,3,2,1
G_9,6,Italy x Sweden,Dormant,High Humidity,2,0,0,NA
H_1,4,UK x USA,Dormant,Control,1,0,0,NA
H_1,4,UK x USA,Dormant,Control,2,0,0,NA
H_10,6,Italy x Sweden,Mixed,High Humidity,1,17,29,0.5862068965517241
H_10,6,Italy x Sweden,Mixed,High Humidity,2,0,0,NA
H_11,6,UK x USA,Non-Dormant,Control,1,0,0,NA
H_11,6,UK x USA,Non-Dormant,Control,2,0,1,0
H_12,6,Italy x Sweden,Dormant,Litter,1,0,0,NA
H_12,6,Italy x Sweden,Dormant,Litter,2,0,0,NA
H_2,4,Italy x Sweden,Non-Dormant,Litter,1,0,0,NA
H_2,4,Italy x Sweden,Non-Dormant,Litter,2,0,0,NA
H_4,4,Germany x Tajikistan,Dormant,Litter,1,0,0,NA
H_4,4,Germany x Tajikistan,Dormant,Litter,2,0,0,NA
H_5,5,UK x USA,Dormant,Control,1,0,2,0
H_5,5,UK x USA,Dormant,Control,2,0,0,NA
H_6,5,Italy x Sweden,Non-Dormant,Litter,1,0,0,NA
H_6,5,Italy x Sweden,Non-Dormant,Litter,2,0,0,NA
H_7,5,Italy x Sweden,Non-Dormant,Control,1,0,1,0
H_7,5,Italy x Sweden,Non-Dormant,Control,2,0,0,NA
H_8,5,Italy x Sweden,Dormant,Litter,1,0,1,0
H_8,5,Italy x Sweden,Dormant,Litter,2,0,0,NA
H_9,6,Germany x Tajikistan,Non-Dormant,Control,1,0,0,NA
H_9,6,Germany x Tajikistan,Non-Dormant,Control,2,0,2,0
I_1,4,Italy x Sweden,Non-Dormant,High Humidity,1,0,0,NA
I_1,4,Italy x Sweden,Non-Dormant,High Humidity,2,0,0,NA
I_10,5,Italy x Sweden,Mixed,Litter,1,0,0,NA
I_10,5,Italy x Sweden,Mixed,Litter,2,0,0,NA
I_11,6,Italy x Sweden,Non-Dormant,Litter,1,0,0,NA
I_11,6,Italy x Sweden,Non-Dormant,Litter,2,0,0,NA
I_12,6,Italy x Sweden,Non-Dormant,High Humidity,1,0,1,0
I_12,6,Italy x Sweden,Non-Dormant,High Humidity,2,0,0,NA
I_3,4,Germany x Tajikistan,Mixed,Control,1,0,5,0
I_3,4,Germany x Tajikistan,Mixed,Control,2,0,0,NA
I_4,4,Italy x Sweden,Dormant,Litter,1,0,0,NA
I_4,4,Italy x Sweden,Dormant,Litter,2,0,0,NA
I_5,5,Germany x Tajikistan,Non-Dormant,Control,1,0,0,NA
I_5,5,Germany x Tajikistan,Non-Dormant,Control,2,0,0,NA
I_6,5,Germany x Tajikistan,Dormant,Litter,1,0,0,NA
I_6,5,Germany x Tajikistan,Dormant,Litter,2,0,0,NA
I_7,5,Italy x Sweden,Non-Dormant,High Humidity,1,0,0,NA
I_7,5,Italy x Sweden,Non-Dormant,High Humidity,2,0,0,NA
I_8,5,Germany x Tajikistan,Non-Dormant,Litter,1,0,0,NA
I_8,5,Germany x Tajikistan,Non-Dormant,Litter,2,0,0,NA
I_9,5,Italy x Sweden,Mixed,High Humidity,1,0,0,NA
I_9,5,Italy x Sweden,Mixed,High Humidity,2,0,0,NA
J_10,5,UK x USA,Non-Dormant,Control,1,0,0,NA
J_10,5,UK x USA,Non-Dormant,Control,2,0,0,NA
J_11,8,Italy x Sweden,Dormant,High Humidity,1,0,1,0
J_11,8,Italy x Sweden,Dormant,High Humidity,2,0,0,NA
J_12,8,Italy x Sweden,Non-Dormant,Control,1,0,0,NA
J_12,8,Italy x Sweden,Non-Dormant,Control,2,0,0,NA
J_2,4,Italy x Sweden,Dormant,Native Soil,1,22,18,1
J_2,4,Italy x Sweden,Dormant,Native Soil,2,0,19,0
J_3,4,UK x USA,Mixed,Control,1,0,0,NA
J_3,4,UK x USA,Mixed,Control,2,0,0,NA
J_4,4,Italy x Sweden,Mixed,Native Soil,1,4,7,0.5714285714285714
J_4,4,Italy x Sweden,Mixed,Native Soil,2,0,0,NA
J_5,5,Italy x Sweden,Dormant,Native Soil,1,5,25,0.2
J_5,5,Italy x Sweden,Dormant,Native Soil,2,0,0,NA
J_6,5,Italy x Sweden,Non-Dormant,Native Soil,1,6,4,1
J_6,5,Italy x Sweden,Non-Dormant,Native Soil,2,0,0,NA
J_7,5,Italy x Sweden,Dormant,High Humidity,1,10,3,1
J_7,5,Italy x Sweden,Dormant,High Humidity,2,0,0,NA
J_8,5,Germany x Tajikistan,Mixed,Control,1,0,1,0
J_8,5,Germany x Tajikistan,Mixed,Control,2,0,0,NA
J_9,5,Italy x Sweden,Mixed,Native Soil,1,15,17,0.8823529411764706
J_9,5,Italy x Sweden,Mixed,Native Soil,2,0,9,0
K_1,7,Italy x Sweden,Non-Dormant,Litter,1,0,0,NA
K_1,7,Italy x Sweden,Non-Dormant,Litter,2,0,0,NA
K_10,8,Italy x Sweden,Non-Dormant,Litter,1,0,0,NA
K_10,8,Italy x Sweden,Non-Dormant,Litter,2,0,0,NA
K_11,8,Italy x Sweden,Mixed,High Humidity,1,0,0,NA
K_11,8,Italy x Sweden,Mixed,High Humidity,2,0,0,NA
K_12,8,Italy x Sweden,Dormant,Litter,1,0,0,NA
K_12,8,Italy x Sweden,Dormant,Litter,2,0,0,NA
K_13,8,Germany x Tajikistan,Mixed,Control,1,0,0,NA
K_13,8,Germany x Tajikistan,Mixed,Control,2,0,0,NA
K_2,7,UK x USA,Dormant,Control,1,0,0,NA
K_2,7,UK x USA,Dormant,Control,2,0,0,NA
K_3,7,UK x USA,Mixed,Control,1,0,0,NA
K_3,7,UK x USA,Mixed,Control,2,0,0,NA
K_4,7,Italy x Sweden,Dormant,Control,1,0,0,NA
K_4,7,Italy x Sweden,Dormant,Control,2,0,0,NA
K_5,7,Italy x Sweden,Non-Dormant,High Humidity,1,0,0,NA
K_5,7,Italy x Sweden,Non-Dormant,High Humidity,2,0,0,NA
K_6,7,Italy x Sweden,Mixed,Litter,1,0,0,NA
K_6,7,Italy x Sweden,Mixed,Litter,2,0,0,NA
K_7,7,Germany x Tajikistan,Mixed,Control,1,0,0,NA
K_7,7,Germany x Tajikistan,Mixed,Control,2,0,0,NA
K_8,8,Italy x Sweden,Non-Dormant,High Humidity,1,0,0,NA
K_8,8,Italy x Sweden,Non-Dormant,High Humidity,2,0,0,NA
K_9,8,Germany x Tajikistan,Dormant,Litter,1,0,0,NA
K_9,8,Germany x Tajikistan,Dormant,Litter,2,0,0,NA
L_1,7,Italy x Sweden,Dormant,High Humidity,1,0,1,0
L_1,7,Italy x Sweden,Dormant,High Humidity,2,0,0,NA
L_10,8,Italy x Sweden,Dormant,Native Soil,1,9,5,1
L_10,8,Italy x Sweden,Dormant,Native Soil,2,0,0,NA
L_11,8,Italy x Sweden,Dormant,Control,1,3,4,0.75
L_11,8,Italy x Sweden,Dormant,Control,2,0,0,NA
L_12,8,UK x USA,Dormant,Control,1,0,0,NA
L_12,8,UK x USA,Dormant,Control,2,0,0,NA
L_13,8,Germany x Tajikistan,Dormant,Control,1,3,7,0.42857142857142855
L_13,8,Germany x Tajikistan,Dormant,Control,2,0,1,0
L_2,7,Italy x Sweden,Dormant,Litter,1,0,0,NA
L_2,7,Italy x Sweden,Dormant,Litter,2,0,0,NA
L_3,7,Italy x Sweden,Dormant,Native Soil,1,3,2,1
L_3,7,Italy x Sweden,Dormant,Native Soil,2,0,0,NA
L_4,7,UK x USA,Non-Dormant,Control,1,0,0,NA
L_4,7,UK x USA,Non-Dormant,Control,2,0,0,NA
L_5,7,Germany x Tajikistan,Dormant,Litter,1,8,27,0.2962962962962963
L_5,7,Germany x Tajikistan,Dormant,Litter,2,0,0,NA
L_6,7,Italy x Sweden,Mixed,High Humidity,1,0,2,0
L_6,7,Italy x Sweden,Mixed,High Humidity,2,0,0,NA
L_7,7,Italy x Sweden,Mixed,Native Soil,1,10,9,1
L_7,7,Italy x Sweden,Mixed,Native Soil,2,0,32,0
L_8,8,Germany x Tajikistan,Non-Dormant,Control,1,0,0,NA
L_8,8,Germany x Tajikistan,Non-Dormant,Control,2,0,0,NA
L_9,8,UK x USA,Non-Dormant,Control,1,0,0,NA
L_9,8,UK x USA,Non-Dormant,Control,2,0,1,0
M_1,7,Italy x Sweden,Non-Dormant,Native Soil,1,10,8,1
M_1,7,Italy x Sweden,Non-Dormant,Native Soil,2,0,0,NA
M_10,8,Germany x Tajikistan,Non-Dormant,Litter,1,0,0,NA
M_10,8,Germany x Tajikistan,Non-Dormant,Litter,2,0,0,NA
M_11,8,Italy x Sweden,Mixed,Litter,1,0,6,0
M_11,8,Italy x Sweden,Mixed,Litter,2,0,0,NA
M_12,8,Italy x Sweden,Non-Dormant,Native Soil,1,13,3,1
M_12,8,Italy x Sweden,Non-Dormant,Native Soil,2,0,0,NA
M_13,8,Italy x Sweden,Mixed,Native Soil,1,28,13,1
M_13,8,Italy x Sweden,Mixed,Native Soil,2,0,0,NA
M_2,7,Germany x Tajikistan,Dormant,Control,1,0,0,NA
M_2,7,Germany x Tajikistan,Dormant,Control,2,0,0,NA
M_3,7,Germany x Tajikistan,Non-Dormant,Litter,1,0,0,NA
M_3,7,Germany x Tajikistan,Non-Dormant,Litter,2,0,0,NA
M_4,7,Germany x Tajikistan,Non-Dormant,Control,1,0,0,NA
M_4,7,Germany x Tajikistan,Non-Dormant,Control,2,0,0,NA
M_5,7,Italy x Sweden,Non-Dormant,Control,1,0,0,NA
M_5,7,Italy x Sweden,Non-Dormant,Control,2,0,0,NA
M_6,7,Italy x Sweden,Mixed,Control,1,3,15,0.2
M_6,7,Italy x Sweden,Mixed,Control,2,0,0,NA
M_8,8,UK x USA,Mixed,Control,1,6,9,0.6666666666666666
M_8,8,UK x USA,Mixed,Control,2,2,25,0.08
M_9,8,Italy x Sweden,Mixed,Control,1,16,22,0.7272727272727273
M_9,8,Italy x Sweden,Mixed,Control,2,0,0,NA
