Block,PopId,RILSet,Dormancy,Envt,Ident,CensusN,Newsdls,Year,Date,JulianDate
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.25,31,1,2019-12-20,354
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.26,2,1,2020-02-10,41
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.27,0,1,2020-03-02,62
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,1.29,0,1,2020-05-05,126
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,2.01,0,2,2020-05-27,148
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,2.02,0,2,2020-06-04,156
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,2.03,0,2,2020-07-23,205
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,2.04,0,2,2020-08-07,220
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,2.05,0,2,2020-08-13,226
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,2.06,0,2,2020-08-18,231
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,2.07,0,2,2020-08-25,238
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,2.08,0,2,2020-09-04,248
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,2.09,0,2,2020-09-16,260
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,2.1,18,2,2020-10-02,276
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,2.11,0,2,2020-10-19,293
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,2.12,0,2,2020-10-30,304
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,2.13,0,2,2020-11-13,318
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,2.14,0,2,2020-12-02,337
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,2.15,0,2,2020-12-17,352
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,2.16,0,2,2021-01-15,15
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,2.17,0,2,2021-02-01,32
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,2.18,0,2,2021-02-25,56
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,2.19,0,2,2021-03-08,67
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,2.2,0,2,2021-03-25,84
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,2.21,0,2,2021-04-08,98
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,3.14,0,3,2021-08-17,229
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,3.15,0,3,2021-08-25,237
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,3.16,0,3,2021-09-02,245
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,3.17,0,3,2021-09-08,251
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,3.18,0,3,2021-09-15,258
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,3.19,0,3,2021-09-22,265
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,3.2,0,3,2021-09-27,270
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,3.21,65,3,2021-10-11,284
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,3.22,8,3,2021-11-08,312
1,A_0,Italy x Sweden,Dormant,Litter,1-IS_D_F,3.23,0,3,2021-12-17,351
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.01,NA,1,2019-06-12,163
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.02,NA,1,2019-06-16,167
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.03,NA,1,2019-06-26,177
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.04,NA,1,2019-07-03,184
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.05,NA,1,2019-07-10,191
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.06,NA,1,2019-07-17,198
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.07,0,1,2019-07-24,205
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.08,0,1,2019-07-31,212
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.09,0,1,2019-08-07,219
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.1,0,1,2019-08-15,227
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.11,0,1,2019-08-20,232
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.12,0,1,2019-08-28,240
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.13,0,1,2019-09-04,247
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.14,0,1,2019-09-11,254
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.15,0,1,2019-09-18,261
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.16,0,1,2019-09-25,268
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.17,0,1,2019-10-02,275
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.18,0,1,2019-10-09,282
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.19,0,1,2019-10-18,291
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.2,21,1,2019-10-23,296
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.22,0,1,2019-11-06,310
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.23,0,1,2019-11-20,324
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.24,0,1,2019-12-04,338
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.25,13,1,2019-12-20,354
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.26,0,1,2020-02-10,41
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.27,0,1,2020-03-02,62
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,1.29,0,1,2020-05-05,126
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,2.01,24,2,2020-05-27,148
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,2.02,0,2,2020-06-04,156
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,2.03,0,2,2020-07-23,205
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,2.04,0,2,2020-08-07,220
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,2.05,0,2,2020-08-13,226
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,2.06,0,2,2020-08-18,231
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,2.07,0,2,2020-08-25,238
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,2.08,267,2,2020-09-04,248
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,2.09,0,2,2020-09-16,260
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,2.1,0,2,2020-10-02,276
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,2.11,0,2,2020-10-19,293
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,2.12,0,2,2020-10-30,304
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,2.13,0,2,2020-11-13,318
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,2.14,0,2,2020-12-02,337
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,2.15,0,2,2020-12-17,352
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,2.16,0,2,2021-01-15,15
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,2.17,0,2,2021-02-01,32
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,2.18,0,2,2021-02-25,56
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,2.19,0,2,2021-03-08,67
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,2.2,0,2,2021-03-25,84
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,2.21,0,2,2021-04-08,98
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,3.14,0,3,2021-08-17,229
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,3.15,19,3,2021-08-25,237
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,3.16,0,3,2021-09-02,245
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,3.17,0,3,2021-09-08,251
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,3.18,0,3,2021-09-15,258
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,3.19,0,3,2021-09-22,265
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,3.2,46,3,2021-09-27,270
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,3.21,0,3,2021-10-11,284
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,3.22,9,3,2021-11-08,312
1,A_1,Germany x Tajikistan,Dormant,Control,1-BS_D_C,3.23,0,3,2021-12-17,351
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.01,NA,1,2019-06-12,163
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.02,NA,1,2019-06-16,167
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.03,NA,1,2019-06-26,177
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.04,NA,1,2019-07-03,184
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.05,NA,1,2019-07-10,191
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.06,NA,1,2019-07-17,198
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.07,0,1,2019-07-24,205
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.08,0,1,2019-07-31,212
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.09,0,1,2019-08-07,219
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.1,0,1,2019-08-15,227
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.11,0,1,2019-08-20,232
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.12,0,1,2019-08-28,240
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.13,0,1,2019-09-04,247
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.14,0,1,2019-09-11,254
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.15,0,1,2019-09-18,261
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.16,0,1,2019-09-25,268
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.17,0,1,2019-10-02,275
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.18,0,1,2019-10-09,282
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.19,0,1,2019-10-18,291
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.2,11,1,2019-10-23,296
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.22,0,1,2019-11-06,310
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.23,0,1,2019-11-20,324
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.24,0,1,2019-12-04,338
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.25,1,1,2019-12-20,354
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.26,0,1,2020-02-10,41
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.27,0,1,2020-03-02,62
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,1.29,0,1,2020-05-05,126
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,2.01,0,2,2020-05-27,148
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,2.02,0,2,2020-06-04,156
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,2.03,0,2,2020-07-23,205
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,2.04,0,2,2020-08-07,220
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,2.05,0,2,2020-08-13,226
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,2.06,0,2,2020-08-18,231
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,2.07,0,2,2020-08-25,238
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,2.08,0,2,2020-09-04,248
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,2.09,4,2,2020-09-16,260
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,2.1,0,2,2020-10-02,276
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,2.11,0,2,2020-10-19,293
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,2.12,0,2,2020-10-30,304
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,2.13,0,2,2020-11-13,318
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,2.14,0,2,2020-12-02,337
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,2.15,0,2,2020-12-17,352
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,2.16,0,2,2021-01-15,15
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,2.17,0,2,2021-02-01,32
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,2.18,0,2,2021-02-25,56
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,2.19,0,2,2021-03-08,67
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,2.2,0,2,2021-03-25,84
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,2.21,0,2,2021-04-08,98
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,3.14,0,3,2021-08-17,229
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,3.15,0,3,2021-08-25,237
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,3.16,0,3,2021-09-02,245
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,3.17,0,3,2021-09-08,251
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,3.18,0,3,2021-09-15,258
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,3.19,0,3,2021-09-22,265
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,3.2,0,3,2021-09-27,270
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,3.21,1,3,2021-10-11,284
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,3.22,0,3,2021-11-08,312
1,A_2,UK x USA,Dormant,Control,1-TC_D_C,3.23,0,3,2021-12-17,351
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.01,14,1,2019-06-12,163
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.02,0,1,2019-06-16,167
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.03,0,1,2019-06-26,177
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.04,0,1,2019-07-03,184
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.05,NA,1,2019-07-10,191
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.06,NA,1,2019-07-17,198
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.07,0,1,2019-07-24,205
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.08,0,1,2019-07-31,212
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.09,0,1,2019-08-07,219
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.1,0,1,2019-08-15,227
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.11,0,1,2019-08-20,232
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.12,0,1,2019-08-28,240
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.13,0,1,2019-09-04,247
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.14,0,1,2019-09-11,254
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.15,0,1,2019-09-18,261
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.16,0,1,2019-09-25,268
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.17,0,1,2019-10-02,275
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.18,0,1,2019-10-09,282
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.19,11,1,2019-10-18,291
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.2,151,1,2019-10-23,296
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.22,0,1,2019-11-06,310
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.23,22,1,2019-11-20,324
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.24,0,1,2019-12-04,338
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.25,45,1,2019-12-20,354
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.26,0,1,2020-02-10,41
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.27,0,1,2020-03-02,62
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,1.29,0,1,2020-05-05,126
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,2.01,0,2,2020-05-27,148
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,2.02,0,2,2020-06-04,156
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,2.03,0,2,2020-07-23,205
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,2.04,0,2,2020-08-07,220
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,2.05,0,2,2020-08-13,226
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,2.06,0,2,2020-08-18,231
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,2.07,0,2,2020-08-25,238
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,2.08,0,2,2020-09-04,248
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,2.09,0,2,2020-09-16,260
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,2.1,6,2,2020-10-02,276
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,2.11,0,2,2020-10-19,293
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,2.12,0,2,2020-10-30,304
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,2.13,0,2,2020-11-13,318
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,2.14,0,2,2020-12-02,337
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,2.15,0,2,2020-12-17,352
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,2.16,0,2,2021-01-15,15
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,2.17,0,2,2021-02-01,32
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,2.18,0,2,2021-02-25,56
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,2.19,0,2,2021-03-08,67
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,2.2,0,2,2021-03-25,84
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,2.21,0,2,2021-04-08,98
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,3.14,0,3,2021-08-17,229
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,3.15,0,3,2021-08-25,237
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,3.16,0,3,2021-09-02,245
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,3.17,0,3,2021-09-08,251
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,3.18,0,3,2021-09-15,258
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,3.19,0,3,2021-09-22,265
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,3.2,7,3,2021-09-27,270
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,3.21,0,3,2021-10-11,284
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,3.22,1,3,2021-11-08,312
1,A_3,Italy x Sweden,Non-Dormant,Litter,1-IS_ND_F,3.23,2,3,2021-12-17,351
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.01,0,1,2019-06-12,163
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.02,0,1,2019-06-16,167
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.03,0,1,2019-06-26,177
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.04,0,1,2019-07-03,184
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.05,NA,1,2019-07-10,191
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.06,NA,1,2019-07-17,198
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.07,0,1,2019-07-24,205
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.08,0,1,2019-07-31,212
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.09,0,1,2019-08-07,219
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.1,0,1,2019-08-15,227
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.11,0,1,2019-08-20,232
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.12,0,1,2019-08-28,240
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.13,0,1,2019-09-04,247
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.14,0,1,2019-09-11,254
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.15,0,1,2019-09-18,261
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.16,0,1,2019-09-25,268
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.17,0,1,2019-10-02,275
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.18,0,1,2019-10-09,282
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.19,0,1,2019-10-18,291
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.2,45,1,2019-10-23,296
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.22,38,1,2019-11-06,310
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.23,0,1,2019-11-20,324
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.24,25,1,2019-12-04,338
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.25,39,1,2019-12-20,354
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.26,0,1,2020-02-10,41
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.27,0,1,2020-03-02,62
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,1.29,0,1,2020-05-05,126
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,2.01,48,2,2020-05-27,148
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,2.02,0,2,2020-06-04,156
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,2.03,0,2,2020-07-23,205
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,2.04,0,2,2020-08-07,220
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,2.05,0,2,2020-08-13,226
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,2.06,0,2,2020-08-18,231
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,2.07,0,2,2020-08-25,238
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,2.08,2,2,2020-09-04,248
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,2.09,53,2,2020-09-16,260
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,2.1,382,2,2020-10-02,276
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,2.11,0,2,2020-10-19,293
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,2.12,50,2,2020-10-30,304
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,2.13,3,2,2020-11-13,318
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,2.14,0,2,2020-12-02,337
1,A_4,Italy x Sweden,Mixed,High Humidity,1-IS_M_D,2.15,0,2,2020-12-17,352
