PopId,Season,Year,Block,RILSet,Dormancy,Envt,Ident,TotPopSurv,TotPopAdjNew,seasonalEst
A_9,2_Autumn,2,3,Italy x Sweden,Dormant,Native Soil,3-IS-D-Soil,0,2,0
A_9,2_Summer,2,3,Italy x Sweden,Dormant,Native Soil,3-IS-D-Soil,0,0,NA
B_0,1_Autumn,1,1,Italy x Sweden,Dormant,Native Soil,1-IS-D-Soil,9,9,1
B_0,1_Summer,1,1,Italy x Sweden,Dormant,Native Soil,1-IS-D-Soil,0,0,NA
B_0,2_Autumn,2,1,Italy x Sweden,Dormant,Native Soil,1-IS-D-Soil,0,0,NA
B_0,2_Summer,2,1,Italy x Sweden,Dormant,Native Soil,1-IS-D-Soil,0,0,NA
B_1,1_Autumn,1,1,Italy x Sweden,Mixed,Control,1-IS_M_C,13,13,1
B_1,1_Summer,1,1,Italy x Sweden,Mixed,Control,1-IS_M_C,1,19,0.05263157894736842
B_1,2_Autumn,2,1,Italy x Sweden,Mixed,Control,1-IS_M_C,0,0,NA
B_1,2_Summer,2,1,Italy x Sweden,Mixed,Control,1-IS_M_C,12,78,0.15384615384615385
B_10,1_Autumn,1,3,UK x USA,Non-Dormant,Control,3-TC_ND_C,0,1,0
B_10,1_Summer,1,3,UK x USA,Non-Dormant,Control,3-TC_ND_C,0,0,NA
B_10,2_Autumn,2,3,UK x USA,Non-Dormant,Control,3-TC_ND_C,0,0,NA
B_10,2_Summer,2,3,UK x USA,Non-Dormant,Control,3-TC_ND_C,0,0,NA
B_11,1_Autumn,1,3,Italy x Sweden,Non-Dormant,Native Soil,3-IS-ND-Soil,11,11,1
B_11,1_Summer,1,3,Italy x Sweden,Non-Dormant,Native Soil,3-IS-ND-Soil,0,0,NA
B_11,2_Autumn,2,3,Italy x Sweden,Non-Dormant,Native Soil,3-IS-ND-Soil,0,0,NA
B_11,2_Summer,2,3,Italy x Sweden,Non-Dormant,Native Soil,3-IS-ND-Soil,0,2,0
B_12,1_Autumn,1,3,Italy x Sweden,Mixed,Native Soil,3-IS-M-Soil,1,1,1
B_12,1_Summer,1,3,Italy x Sweden,Mixed,Native Soil,3-IS-M-Soil,0,1,0
B_12,2_Autumn,2,3,Italy x Sweden,Mixed,Native Soil,3-IS-M-Soil,0,0,NA
B_12,2_Summer,2,3,Italy x Sweden,Mixed,Native Soil,3-IS-M-Soil,0,1,0
B_13,1_Autumn,1,3,Italy x Sweden,Dormant,Litter,3-IS_D_F,0,0,NA
B_13,1_Summer,1,3,Italy x Sweden,Dormant,Litter,3-IS_D_F,0,0,NA
B_13,2_Autumn,2,3,Italy x Sweden,Dormant,Litter,3-IS_D_F,0,0,NA
B_13,2_Summer,2,3,Italy x Sweden,Dormant,Litter,3-IS_D_F,0,0,NA
B_2,1_Autumn,1,1,Italy x Sweden,Non-Dormant,High Humidity,1-IS_ND_D,362,403,0.8982630272952854
B_2,1_Summer,1,1,Italy x Sweden,Non-Dormant,High Humidity,1-IS_ND_D,3,18,0.16666666666666666
B_2,2_Autumn,2,1,Italy x Sweden,Non-Dormant,High Humidity,1-IS_ND_D,0,0,NA
B_2,2_Summer,2,1,Italy x Sweden,Non-Dormant,High Humidity,1-IS_ND_D,41,94,0.43617021276595747
B_3,1_Autumn,1,1,Germany x Tajikistan,Non-Dormant,Control,1-BS_ND_C,0,0,NA
B_3,1_Summer,1,1,Germany x Tajikistan,Non-Dormant,Control,1-BS_ND_C,0,0,NA
B_3,2_Autumn,2,1,Germany x Tajikistan,Non-Dormant,Control,1-BS_ND_C,0,0,NA
B_3,2_Summer,2,1,Germany x Tajikistan,Non-Dormant,Control,1-BS_ND_C,1,7,0.14285714285714285
B_4,1_Autumn,1,1,Italy x Sweden,Dormant,High Humidity,1-IS_D_D,47,51,0.9215686274509803
B_4,1_Summer,1,1,Italy x Sweden,Dormant,High Humidity,1-IS_D_D,0,0,NA
B_4,2_Autumn,2,1,Italy x Sweden,Dormant,High Humidity,1-IS_D_D,7,26,0.2692307692307692
B_4,2_Summer,2,1,Italy x Sweden,Dormant,High Humidity,1-IS_D_D,0,5,0
B_5,1_Autumn,1,2,UK x USA,Dormant,Control,2-TC_D_C,0,9,0
B_5,1_Summer,1,2,UK x USA,Dormant,Control,2-TC_D_C,0,0,NA
B_5,2_Autumn,2,2,UK x USA,Dormant,Control,2-TC_D_C,0,0,NA
B_5,2_Summer,2,2,UK x USA,Dormant,Control,2-TC_D_C,21,45,0.4666666666666667
B_6,1_Autumn,1,2,Italy x Sweden,Non-Dormant,High Humidity,2-IS_ND_D,10,19,0.5263157894736842
B_6,1_Summer,1,2,Italy x Sweden,Non-Dormant,High Humidity,2-IS_ND_D,0,1,0
B_6,2_Autumn,2,2,Italy x Sweden,Non-Dormant,High Humidity,2-IS_ND_D,7,205,0.03414634146341464
B_6,2_Summer,2,2,Italy x Sweden,Non-Dormant,High Humidity,2-IS_ND_D,0,6,0
B_7,1_Autumn,1,2,Italy x Sweden,Mixed,Control,2-IS_M_C,11,11,1
B_7,1_Summer,1,2,Italy x Sweden,Mixed,Control,2-IS_M_C,0,0,NA
B_7,2_Autumn,2,2,Italy x Sweden,Mixed,Control,2-IS_M_C,0,16,0
B_7,2_Summer,2,2,Italy x Sweden,Mixed,Control,2-IS_M_C,0,37,0
B_8,1_Autumn,1,2,Germany x Tajikistan,Non-Dormant,Control,2-BS_ND_C,1,5,0.2
B_8,1_Summer,1,2,Germany x Tajikistan,Non-Dormant,Control,2-BS_ND_C,0,0,NA
B_8,2_Autumn,2,2,Germany x Tajikistan,Non-Dormant,Control,2-BS_ND_C,0,0,NA
B_8,2_Summer,2,2,Germany x Tajikistan,Non-Dormant,Control,2-BS_ND_C,26,45,0.5777777777777777
B_9,1_Autumn,1,3,UK x USA,Mixed,Control,3-TC_M_C,0,9,0
B_9,1_Summer,1,3,UK x USA,Mixed,Control,3-TC_M_C,0,0,NA
B_9,2_Autumn,2,3,UK x USA,Mixed,Control,3-TC_M_C,0,0,NA
B_9,2_Summer,2,3,UK x USA,Mixed,Control,3-TC_M_C,0,13,0
C_0,1_Autumn,1,1,Germany x Tajikistan,Non-Dormant,Litter,1-BS_ND_F,2,2,1
C_0,1_Summer,1,1,Germany x Tajikistan,Non-Dormant,Litter,1-BS_ND_F,0,0,NA
C_0,2_Autumn,2,1,Germany x Tajikistan,Non-Dormant,Litter,1-BS_ND_F,0,0,NA
C_0,2_Summer,2,1,Germany x Tajikistan,Non-Dormant,Litter,1-BS_ND_F,0,0,NA
C_1,1_Autumn,1,1,Italy x Sweden,Dormant,Control,1-IS_D_C,6,18,0.3333333333333333
C_1,1_Summer,1,1,Italy x Sweden,Dormant,Control,1-IS_D_C,0,2,0
C_1,2_Autumn,2,1,Italy x Sweden,Dormant,Control,1-IS_D_C,0,0,NA
C_1,2_Summer,2,1,Italy x Sweden,Dormant,Control,1-IS_D_C,0,17,0
C_10,1_Autumn,1,3,Italy x Sweden,Dormant,High Humidity,3-IS_D_D,1,17,0.058823529411764705
C_10,1_Summer,1,3,Italy x Sweden,Dormant,High Humidity,3-IS_D_D,0,2,0
C_10,2_Autumn,2,3,Italy x Sweden,Dormant,High Humidity,3-IS_D_D,10,48,0.20833333333333334
C_10,2_Summer,2,3,Italy x Sweden,Dormant,High Humidity,3-IS_D_D,0,0,NA
C_11,1_Autumn,1,3,Germany x Tajikistan,Non-Dormant,Litter,3-BS_ND_F,0,0,NA
C_11,1_Summer,1,3,Germany x Tajikistan,Non-Dormant,Litter,3-BS_ND_F,0,0,NA
C_11,2_Autumn,2,3,Germany x Tajikistan,Non-Dormant,Litter,3-BS_ND_F,0,2,0
C_11,2_Summer,2,3,Germany x Tajikistan,Non-Dormant,Litter,3-BS_ND_F,0,0,NA
C_12,1_Autumn,1,3,Germany x Tajikistan,Dormant,Control,3-BS_D_C,0,1,0
C_12,1_Summer,1,3,Germany x Tajikistan,Dormant,Control,3-BS_D_C,0,0,NA
C_12,2_Autumn,2,3,Germany x Tajikistan,Dormant,Control,3-BS_D_C,0,0,NA
C_12,2_Summer,2,3,Germany x Tajikistan,Dormant,Control,3-BS_D_C,1,3,0.3333333333333333
C_13,1_Autumn,1,3,Italy x Sweden,Mixed,High Humidity,3-IS_M_D,0,0,NA
C_13,1_Summer,1,3,Italy x Sweden,Mixed,High Humidity,3-IS_M_D,1,3,0.3333333333333333
C_13,2_Autumn,2,3,Italy x Sweden,Mixed,High Humidity,3-IS_M_D,0,0,NA
C_13,2_Summer,2,3,Italy x Sweden,Mixed,High Humidity,3-IS_M_D,0,0,NA
C_2,1_Autumn,1,1,Italy x Sweden,Non-Dormant,Control,1-IS_ND_C,0,0,NA
C_2,1_Summer,1,1,Italy x Sweden,Non-Dormant,Control,1-IS_ND_C,1,1,1
C_2,2_Autumn,2,1,Italy x Sweden,Non-Dormant,Control,1-IS_ND_C,0,0,NA
C_2,2_Summer,2,1,Italy x Sweden,Non-Dormant,Control,1-IS_ND_C,0,32,0
C_3,1_Autumn,1,1,Italy x Sweden,Mixed,Litter,1-IS_M_F,18,18,1
C_3,1_Summer,1,1,Italy x Sweden,Mixed,Litter,1-IS_M_F,1,6,0.16666666666666666
C_3,2_Autumn,2,1,Italy x Sweden,Mixed,Litter,1-IS_M_F,0,0,NA
C_3,2_Summer,2,1,Italy x Sweden,Mixed,Litter,1-IS_M_F,0,0,NA
C_4,1_Autumn,1,1,Germany x Tajikistan,Dormant,Litter,1-BS_D_F,5,8,0.625
C_4,1_Summer,1,1,Germany x Tajikistan,Dormant,Litter,1-BS_D_F,0,0,NA
C_4,2_Autumn,2,1,Germany x Tajikistan,Dormant,Litter,1-BS_D_F,0,0,NA
C_4,2_Summer,2,1,Germany x Tajikistan,Dormant,Litter,1-BS_D_F,0,0,NA
C_5,1_Autumn,1,2,UK x USA,Non-Dormant,Control,2-TC_ND_C,0,0,NA
C_5,1_Summer,1,2,UK x USA,Non-Dormant,Control,2-TC_ND_C,0,0,NA
C_5,2_Autumn,2,2,UK x USA,Non-Dormant,Control,2-TC_ND_C,0,0,NA
C_5,2_Summer,2,2,UK x USA,Non-Dormant,Control,2-TC_ND_C,18,38,0.47368421052631576
C_6,1_Autumn,1,2,Germany x Tajikistan,Dormant,Control,2-BS_D_C,1,5,0.2
C_6,1_Summer,1,2,Germany x Tajikistan,Dormant,Control,2-BS_D_C,0,0,NA
C_6,2_Autumn,2,2,Germany x Tajikistan,Dormant,Control,2-BS_D_C,0,0,NA
C_6,2_Summer,2,2,Germany x Tajikistan,Dormant,Control,2-BS_D_C,23,24,0.9583333333333334
C_7,1_Autumn,1,2,Italy x Sweden,Dormant,Control,2-IS_D_C,0,6,0
C_7,1_Summer,1,2,Italy x Sweden,Dormant,Control,2-IS_D_C,0,0,NA
C_7,2_Autumn,2,2,Italy x Sweden,Dormant,Control,2-IS_D_C,1,1,1
C_7,2_Summer,2,2,Italy x Sweden,Dormant,Control,2-IS_D_C,0,4,0
C_9,1_Autumn,1,3,Italy x Sweden,Mixed,Control,3-IS_M_C,0,1,0
C_9,1_Summer,1,3,Italy x Sweden,Mixed,Control,3-IS_M_C,0,0,NA
C_9,2_Autumn,2,3,Italy x Sweden,Mixed,Control,3-IS_M_C,0,0,NA
C_9,2_Summer,2,3,Italy x Sweden,Mixed,Control,3-IS_M_C,0,2,0
D_0,1_Autumn,1,1,UK x USA,Mixed,Control,1-TC_M_C,40,43,0.9302325581395349
D_0,1_Summer,1,1,UK x USA,Mixed,Control,1-TC_M_C,0,0,NA
D_0,2_Autumn,2,1,UK x USA,Mixed,Control,1-TC_M_C,0,0,NA
D_0,2_Summer,2,1,UK x USA,Mixed,Control,1-TC_M_C,10,33,0.30303030303030304
D_1,1_Autumn,1,1,Germany x Tajikistan,Mixed,Control,1-BS_M_C,0,13,0
D_1,1_Summer,1,1,Germany x Tajikistan,Mixed,Control,1-BS_M_C,0,0,NA
D_1,2_Autumn,2,1,Germany x Tajikistan,Mixed,Control,1-BS_M_C,0,0,NA
D_1,2_Summer,2,1,Germany x Tajikistan,Mixed,Control,1-BS_M_C,149,205,0.7268292682926829
D_10,1_Autumn,1,3,Italy x Sweden,Mixed,Litter,3-IS_M_F,1,6,0.16666666666666666
D_10,1_Summer,1,3,Italy x Sweden,Mixed,Litter,3-IS_M_F,0,2,0
D_10,2_Autumn,2,3,Italy x Sweden,Mixed,Litter,3-IS_M_F,0,0,NA
D_10,2_Summer,2,3,Italy x Sweden,Mixed,Litter,3-IS_M_F,0,41,0
D_11,1_Autumn,1,3,Germany x Tajikistan,Non-Dormant,Control,3-BS_ND_C,0,4,0
D_11,1_Summer,1,3,Germany x Tajikistan,Non-Dormant,Control,3-BS_ND_C,0,0,NA
D_11,2_Autumn,2,3,Germany x Tajikistan,Non-Dormant,Control,3-BS_ND_C,0,0,NA
D_11,2_Summer,2,3,Germany x Tajikistan,Non-Dormant,Control,3-BS_ND_C,4,11,0.36363636363636365
D_12,1_Autumn,1,3,Germany x Tajikistan,Dormant,Litter,3-BS_D_F,0,0,NA
D_12,1_Summer,1,3,Germany x Tajikistan,Dormant,Litter,3-BS_D_F,0,0,NA
D_12,2_Autumn,2,3,Germany x Tajikistan,Dormant,Litter,3-BS_D_F,0,0,NA
D_12,2_Summer,2,3,Germany x Tajikistan,Dormant,Litter,3-BS_D_F,0,0,NA
D_13,1_Autumn,1,3,Italy x Sweden,Dormant,Control,3-IS_D_C,2,2,1
D_13,1_Summer,1,3,Italy x Sweden,Dormant,Control,3-IS_D_C,1,2,0.5
D_13,2_Autumn,2,3,Italy x Sweden,Dormant,Control,3-IS_D_C,0,0,NA
D_13,2_Summer,2,3,Italy x Sweden,Dormant,Control,3-IS_D_C,0,2,0
D_2,1_Autumn,1,1,Italy x Sweden,Non-Dormant,Native Soil,1-IS-ND-Soil,3,3,1
D_2,1_Summer,1,1,Italy x Sweden,Non-Dormant,Native Soil,1-IS-ND-Soil,0,0,NA
D_2,2_Autumn,2,1,Italy x Sweden,Non-Dormant,Native Soil,1-IS-ND-Soil,3,3,1
D_2,2_Summer,2,1,Italy x Sweden,Non-Dormant,Native Soil,1-IS-ND-Soil,0,4,0
D_3,1_Autumn,1,1,Italy x Sweden,Mixed,Native Soil,1-IS-M-Soil,5,5,1
D_3,1_Summer,1,1,Italy x Sweden,Mixed,Native Soil,1-IS-M-Soil,0,1,0
D_3,2_Autumn,2,1,Italy x Sweden,Mixed,Native Soil,1-IS-M-Soil,0,0,NA
D_3,2_Summer,2,1,Italy x Sweden,Mixed,Native Soil,1-IS-M-Soil,2,5,0.4
D_4,1_Autumn,1,1,UK x USA,Non-Dormant,Control,1-TC_ND_C,0,6,0
D_4,1_Summer,1,1,UK x USA,Non-Dormant,Control,1-TC_ND_C,0,0,NA
D_4,2_Autumn,2,1,UK x USA,Non-Dormant,Control,1-TC_ND_C,0,0,NA
D_4,2_Summer,2,1,UK x USA,Non-Dormant,Control,1-TC_ND_C,1,17,0.058823529411764705
D_5,1_Autumn,1,2,Italy x Sweden,Mixed,High Humidity,2-IS_M_D,37,45,0.8222222222222222
D_5,1_Summer,1,2,Italy x Sweden,Mixed,High Humidity,2-IS_M_D,0,4,0
D_5,2_Autumn,2,2,Italy x Sweden,Mixed,High Humidity,2-IS_M_D,166,221,0.751131221719457
D_5,2_Summer,2,2,Italy x Sweden,Mixed,High Humidity,2-IS_M_D,11,14,0.7857142857142857
D_6,1_Autumn,1,2,Italy x Sweden,Dormant,High Humidity,2-IS_D_D,23,24,0.9583333333333334
D_6,1_Summer,1,2,Italy x Sweden,Dormant,High Humidity,2-IS_D_D,0,0,NA
D_6,2_Autumn,2,2,Italy x Sweden,Dormant,High Humidity,2-IS_D_D,4,77,0.05194805194805195
D_6,2_Summer,2,2,Italy x Sweden,Dormant,High Humidity,2-IS_D_D,12,20,0.6
D_8,1_Autumn,1,2,Italy x Sweden,Non-Dormant,Litter,2-IS_ND_F,2,2,1
D_8,1_Summer,1,2,Italy x Sweden,Non-Dormant,Litter,2-IS_ND_F,0,9,0
D_8,2_Autumn,2,2,Italy x Sweden,Non-Dormant,Litter,2-IS_ND_F,6,56,0.10714285714285714
D_8,2_Summer,2,2,Italy x Sweden,Non-Dormant,Litter,2-IS_ND_F,0,1,0
D_9,1_Autumn,1,3,Italy x Sweden,Non-Dormant,Control,3-IS_ND_C,2,23,0.08695652173913043
D_9,1_Summer,1,3,Italy x Sweden,Non-Dormant,Control,3-IS_ND_C,0,5,0
D_9,2_Autumn,2,3,Italy x Sweden,Non-Dormant,Control,3-IS_ND_C,0,0,NA
D_9,2_Summer,2,3,Italy x Sweden,Non-Dormant,Control,3-IS_ND_C,0,2,0
E_1,1_Autumn,1,4,Italy x Sweden,Non-Dormant,Native Soil,4-IS-ND-Soil,20,20,1
E_1,1_Summer,1,4,Italy x Sweden,Non-Dormant,Native Soil,4-IS-ND-Soil,0,5,0
E_1,2_Autumn,2,4,Italy x Sweden,Non-Dormant,Native Soil,4-IS-ND-Soil,0,0,NA
E_1,2_Summer,2,4,Italy x Sweden,Non-Dormant,Native Soil,4-IS-ND-Soil,0,3,0
E_10,1_Autumn,1,6,Germany x Tajikistan,Mixed,Control,6-BS_M_C,0,0,NA
E_10,1_Summer,1,6,Germany x Tajikistan,Mixed,Control,6-BS_M_C,0,0,NA
E_10,2_Autumn,2,6,Germany x Tajikistan,Mixed,Control,6-BS_M_C,0,0,NA
E_10,2_Summer,2,6,Germany x Tajikistan,Mixed,Control,6-BS_M_C,0,16,0
E_11,1_Autumn,1,6,Italy x Sweden,Dormant,Control,6-IS_D_C,0,0,NA
E_11,1_Summer,1,6,Italy x Sweden,Dormant,Control,6-IS_D_C,0,0,NA
E_11,2_Autumn,2,6,Italy x Sweden,Dormant,Control,6-IS_D_C,0,0,NA
E_11,2_Summer,2,6,Italy x Sweden,Dormant,Control,6-IS_D_C,0,1,0
E_12,1_Autumn,1,6,Italy x Sweden,Mixed,Control,6-IS_M_C,0,0,NA
E_12,1_Summer,1,6,Italy x Sweden,Mixed,Control,6-IS_M_C,0,1,0
E_12,2_Autumn,2,6,Italy x Sweden,Mixed,Control,6-IS_M_C,0,0,NA
E_12,2_Summer,2,6,Italy x Sweden,Mixed,Control,6-IS_M_C,0,7,0
E_13,1_Autumn,1,3,Italy x Sweden,Non-Dormant,High Humidity,3-IS-ND-D,0,2,0
E_13,1_Summer,1,3,Italy x Sweden,Non-Dormant,High Humidity,3-IS-ND-D,2,13,0.15384615384615385
E_13,2_Autumn,2,3,Italy x Sweden,Non-Dormant,High Humidity,3-IS-ND-D,0,0,NA
E_13,2_Summer,2,3,Italy x Sweden,Non-Dormant,High Humidity,3-IS-ND-D,0,89,0
E_2,1_Autumn,1,4,Italy x Sweden,Mixed,Control,4-IS_M_C,17,23,0.7391304347826086
E_2,1_Summer,1,4,Italy x Sweden,Mixed,Control,4-IS_M_C,0,6,0
E_2,2_Autumn,2,4,Italy x Sweden,Mixed,Control,4-IS_M_C,0,0,NA
E_2,2_Summer,2,4,Italy x Sweden,Mixed,Control,4-IS_M_C,0,54,0
E_3,1_Autumn,1,4,Italy x Sweden,Non-Dormant,Control,4-IS_ND_C,13,14,0.9285714285714286
E_3,1_Summer,1,4,Italy x Sweden,Non-Dormant,Control,4-IS_ND_C,0,3,0
E_3,2_Autumn,2,4,Italy x Sweden,Non-Dormant,Control,4-IS_ND_C,0,0,NA
E_3,2_Summer,2,4,Italy x Sweden,Non-Dormant,Control,4-IS_ND_C,30,61,0.4918032786885246
E_4,1_Autumn,1,4,Germany x Tajikistan,Non-Dormant,Litter,4-BS_ND_F,0,8,0
E_4,1_Summer,1,4,Germany x Tajikistan,Non-Dormant,Litter,4-BS_ND_F,0,0,NA
E_4,2_Autumn,2,4,Germany x Tajikistan,Non-Dormant,Litter,4-BS_ND_F,0,0,NA
E_4,2_Summer,2,4,Germany x Tajikistan,Non-Dormant,Litter,4-BS_ND_F,0,0,NA
E_5,1_Autumn,1,2,Germany x Tajikistan,Non-Dormant,Litter,2-BS_ND_F,0,1,0
E_5,1_Summer,1,2,Germany x Tajikistan,Non-Dormant,Litter,2-BS_ND_F,0,0,NA
E_5,2_Autumn,2,2,Germany x Tajikistan,Non-Dormant,Litter,2-BS_ND_F,0,0,NA
E_5,2_Summer,2,2,Germany x Tajikistan,Non-Dormant,Litter,2-BS_ND_F,0,0,NA
E_7,1_Autumn,1,2,Italy x Sweden,Dormant,Litter,2-IS_D_F,1,14,0.07142857142857142
E_7,1_Summer,1,2,Italy x Sweden,Dormant,Litter,2-IS_D_F,0,1,0
E_7,2_Autumn,2,2,Italy x Sweden,Dormant,Litter,2-IS_D_F,0,0,NA
E_7,2_Summer,2,2,Italy x Sweden,Dormant,Litter,2-IS_D_F,6,23,0.2608695652173913
E_8,1_Autumn,1,2,Italy x Sweden,Non-Dormant,Control,2-IS_ND_C,1,3,0.3333333333333333
E_8,1_Summer,1,2,Italy x Sweden,Non-Dormant,Control,2-IS_ND_C,0,1,0
E_8,2_Autumn,2,2,Italy x Sweden,Non-Dormant,Control,2-IS_ND_C,0,0,NA
E_8,2_Summer,2,2,Italy x Sweden,Non-Dormant,Control,2-IS_ND_C,1,11,0.09090909090909091
E_9,1_Autumn,1,6,Italy x Sweden,Dormant,Native Soil,6-IS-D-Soil,8,8,1
E_9,1_Summer,1,6,Italy x Sweden,Dormant,Native Soil,6-IS-D-Soil,0,0,NA
E_9,2_Autumn,2,6,Italy x Sweden,Dormant,Native Soil,6-IS-D-Soil,7,30,0.23333333333333334
E_9,2_Summer,2,6,Italy x Sweden,Dormant,Native Soil,6-IS-D-Soil,0,1,0
F_1,1_Autumn,1,4,Germany x Tajikistan,Dormant,Control,4-BS_D_C,7,7,1
F_1,1_Summer,1,4,Germany x Tajikistan,Dormant,Control,4-BS_D_C,0,0,NA
F_1,2_Autumn,2,4,Germany x Tajikistan,Dormant,Control,4-BS_D_C,0,0,NA
F_1,2_Summer,2,4,Germany x Tajikistan,Dormant,Control,4-BS_D_C,16,39,0.41025641025641024
F_10,1_Autumn,1,6,Germany x Tajikistan,Dormant,Control,6-BS_D_C,2,8,0.25
F_10,1_Summer,1,6,Germany x Tajikistan,Dormant,Control,6-BS_D_C,0,0,NA
F_10,2_Autumn,2,6,Germany x Tajikistan,Dormant,Control,6-BS_D_C,0,0,NA
F_10,2_Summer,2,6,Germany x Tajikistan,Dormant,Control,6-BS_D_C,0,12,0
F_11,1_Autumn,1,6,UK x USA,Mixed,Control,6-TC_M_C,0,0,NA
F_11,1_Summer,1,6,UK x USA,Mixed,Control,6-TC_M_C,0,0,NA
F_11,2_Autumn,2,6,UK x USA,Mixed,Control,6-TC_M_C,0,0,NA
