Year,Block,PopId,RILSet,Dormancy,Envt,IndivID,BandColor,Fruits
1,1,B_2,IS,Non-Dormant,High Humidity,8,IC,3
1,1,B_2,IS,Non-Dormant,High Humidity,9,IC,2
1,1,B_2,IS,Non-Dormant,High Humidity,10,IC,1
1,1,B_2,IS,Non-Dormant,High Humidity,11,IC,1
1,1,B_2,IS,Non-Dormant,High Humidity,12,IC,10
1,1,B_2,IS,Non-Dormant,High Humidity,13,IC,21
1,1,B_2,IS,Non-Dormant,High Humidity,14,IC,16
1,1,B_2,IS,Non-Dormant,High Humidity,15,OC,214
1,1,B_2,IS,Non-Dormant,High Humidity,16,OC,87
1,1,B_2,IS,Non-Dormant,High Humidity,17,OC,19
1,1,B_2,IS,Non-Dormant,High Humidity,18,OC,42
1,1,B_2,IS,Non-Dormant,High Humidity,19,OC,129
1,1,B_2,IS,Non-Dormant,High Humidity,20,OC,16
1,1,C_2,IS,Non-Dormant,Control,1,OC,11
1,1,C_2,IS,Non-Dormant,Control,2,OC,23
1,1,C_2,IS,Non-Dormant,Control,3,OC,31
1,1,C_2,IS,Non-Dormant,Control,4,OC,19
1,2,A_5,IS,Mixed,Litter,2,IC,2
1,2,A_5,IS,Mixed,Litter,3,OC,4
1,2,A_5,IS,Mixed,Litter,4,OC,7
1,2,A_5,IS,Mixed,Litter,5,OC,6
1,2,A_5,IS,Mixed,Litter,6,OC,17
1,2,A_5,IS,Mixed,Litter,7,OC,103
1,2,A_5,IS,Mixed,Litter,8,OC,11
1,2,A_5,IS,Mixed,Litter,9,OC,8
1,2,A_5,IS,Mixed,Litter,10,OC,15
1,2,A_5,IS,Mixed,Litter,11,OC,7
1,2,A_5,IS,Mixed,Litter,12,OC,9
1,2,A_5,IS,Mixed,Litter,13,OC,5
1,2,A_5,IS,Mixed,Litter,14,OC,31
1,2,A_5,IS,Mixed,Litter,15,OC,23
1,2,A_5,IS,Mixed,Litter,16,OC,28
1,2,A_5,IS,Mixed,Litter,17,OC,9
1,2,A_5,IS,Mixed,Litter,18,OC,10
1,2,A_5,IS,Mixed,Litter,19,OC,5
1,2,A_5,IS,Mixed,Litter,1,green,0
1,2,A_7,IS,Mixed,Native Soil,1,green,10
1,2,A_7,IS,Mixed,Native Soil,2,orange,22
1,2,A_7,IS,Mixed,Native Soil,3,blue,16
1,2,A_7,IS,Mixed,Native Soil,4,purple,17
1,2,A_7,IS,Mixed,Native Soil,5,yellow,13
1,2,A_7,IS,Mixed,Native Soil,6,pink,22
1,2,A_7,IS,Mixed,Native Soil,7,yellow-blue,23
1,2,A_7,IS,Mixed,Native Soil,8,yellow-green,9
1,2,A_7,IS,Mixed,Native Soil,9,orange-purple,29
1,2,A_7,IS,Mixed,Native Soil,10,green-pink,5
1,2,A_7,IS,Mixed,Native Soil,11,purple-pink,6
1,2,A_7,IS,Mixed,Native Soil,12,purple-green,6
1,2,A_7,IS,Mixed,Native Soil,14,green-orange,6
1,2,A_7,IS,Mixed,Native Soil,15,blue-pink,56
1,2,A_7,IS,Mixed,Native Soil,16,blue-purple,2
1,2,A_7,IS,Mixed,Native Soil,17,yellow-purple,8
1,2,A_7,IS,Mixed,Native Soil,18,yellow-pink,3
1,2,A_7,IS,Mixed,Native Soil,19,OC,80
1,2,A_7,IS,Mixed,Native Soil,20,OC,109
1,2,A_7,IS,Mixed,Native Soil,13,orange-blue,0
2,2,A_7,IS,Mixed,Native Soil,1,pink,2
2,2,A_7,IS,Mixed,Native Soil,2,orange,19
2,2,A_7,IS,Mixed,Native Soil,3,purple,27
2,2,A_7,IS,Mixed,Native Soil,4,blue,13
2,2,A_7,IS,Mixed,Native Soil,5,unmarked,7
2,2,A_7,IS,Mixed,Native Soil,6,unmarked,2
2,2,A_7,IS,Mixed,Native Soil,7,unmarked,4
2,2,A_7,IS,Mixed,Native Soil,8,unmarked,3
2,2,A_7,IS,Mixed,Native Soil,9,unmarked,3
2,2,A_7,IS,Mixed,Native Soil,10,unmarked,7
2,2,A_7,IS,Mixed,Native Soil,11,unmarked,7
2,2,A_7,IS,Mixed,Native Soil,12,unmarked,2
2,2,A_7,IS,Mixed,Native Soil,13,unmarked,2
2,2,A_7,IS,Mixed,Native Soil,14,unmarked,3
2,2,A_7,IS,Mixed,Native Soil,15,unmarked,9
2,2,A_7,IS,Mixed,Native Soil,16,unmarked,2
2,2,A_7,IS,Mixed,Native Soil,17,unmarked,2
2,2,A_7,IS,Mixed,Native Soil,18,unmarked,4
2,2,A_7,IS,Mixed,Native Soil,19,unmarked,2
2,2,A_7,IS,Mixed,Native Soil,20,unmarked,3
1,2,B_6,IS,Non-Dormant,High Humidity,1,orange,2
1,2,B_6,IS,Non-Dormant,High Humidity,3,pink,19
1,2,B_6,IS,Non-Dormant,High Humidity,5,blue,84
1,2,B_6,IS,Non-Dormant,High Humidity,6,purple-pink,12
1,2,B_6,IS,Non-Dormant,High Humidity,7,orange-pink,81
1,2,B_6,IS,Non-Dormant,High Humidity,9,blue-yellow,11
1,2,B_6,IS,Non-Dormant,High Humidity,10,IC,261
1,2,B_6,IS,Non-Dormant,High Humidity,11,IC,35
1,2,B_6,IS,Non-Dormant,High Humidity,12,OC,291
1,2,B_6,IS,Non-Dormant,High Humidity,13,OC,713
1,2,B_6,IS,Non-Dormant,High Humidity,14,OC,31
1,2,B_6,IS,Non-Dormant,High Humidity,15,OC,27
1,2,B_6,IS,Non-Dormant,High Humidity,16,OC,47
1,2,B_6,IS,Non-Dormant,High Humidity,17,OC,15
1,2,B_6,IS,Non-Dormant,High Humidity,18,OC,142
1,2,B_6,IS,Non-Dormant,High Humidity,19,OC,5
1,2,B_6,IS,Non-Dormant,High Humidity,20,OC,76
1,2,B_6,IS,Non-Dormant,High Humidity,1.1,orange,0
1,2,B_6,IS,Non-Dormant,High Humidity,2,purple,0
1,2,B_6,IS,Non-Dormant,High Humidity,4,green,0
1,2,B_6,IS,Non-Dormant,High Humidity,5.1,blue,0
2,2,B_6,IS,Non-Dormant,High Humidity,2,pink,11
2,2,B_6,IS,Non-Dormant,High Humidity,3,orange,4
2,2,B_6,IS,Non-Dormant,High Humidity,4,yellow,2
2,2,B_6,IS,Non-Dormant,High Humidity,6,purple,3
2,2,B_6,IS,Non-Dormant,High Humidity,9,purple-green,9
2,2,B_6,IS,Non-Dormant,High Humidity,10,purple-blue,9
2,2,B_6,IS,Non-Dormant,High Humidity,11,unmarked,5
2,2,B_6,IS,Non-Dormant,High Humidity,12,unmarked,2
2,2,B_6,IS,Non-Dormant,High Humidity,13,unmarked,1
2,2,B_6,IS,Non-Dormant,High Humidity,14,unmarked,2
2,2,B_6,IS,Non-Dormant,High Humidity,15,unmarked,8
2,2,B_6,IS,Non-Dormant,High Humidity,1,blue,0
2,2,B_6,IS,Non-Dormant,High Humidity,3.1,orange,0
2,2,B_6,IS,Non-Dormant,High Humidity,3.2,orange,0
2,2,B_6,IS,Non-Dormant,High Humidity,4.1,yellow,0
2,2,B_6,IS,Non-Dormant,High Humidity,5.1,green,0
2,2,B_6,IS,Non-Dormant,High Humidity,7,yellow-pink,0
2,2,B_6,IS,Non-Dormant,High Humidity,8,yellow-orange,0
1,2,B_7,IS,Mixed,Control,1,yellow,65
1,2,B_7,IS,Mixed,Control,2,blue,137
1,2,B_7,IS,Mixed,Control,3,green,64
1,2,B_7,IS,Mixed,Control,4,orange,20
1,2,B_7,IS,Mixed,Control,5,purple,53
1,2,B_7,IS,Mixed,Control,6,pink,13
1,2,B_7,IS,Mixed,Control,7,IC,10
1,2,B_7,IS,Mixed,Control,8,IC,105
1,2,B_7,IS,Mixed,Control,9,IC,5
1,2,B_7,IS,Mixed,Control,10,OC,18
1,2,B_7,IS,Mixed,Control,11,OC,9
1,2,B_7,IS,Mixed,Control,12,OC,14
1,2,B_7,IS,Mixed,Control,13,OC,26
1,2,B_7,IS,Mixed,Control,14,OC,29
1,2,B_7,IS,Mixed,Control,15,OC,9
1,2,B_7,IS,Mixed,Control,16,OC,85
1,2,B_7,IS,Mixed,Control,17,OC,129
1,2,B_7,IS,Mixed,Control,18,OC,71
1,2,B_7,IS,Mixed,Control,19,OC,92
1,2,B_7,IS,Mixed,Control,20,OC,76
1,2,B_7,IS,Mixed,Control,3.1,green,0
2,2,B_7,IS,Mixed,Control,1,unmarked,13
2,2,B_7,IS,Mixed,Control,2,unmarked,5
2,2,B_7,IS,Mixed,Control,3,unmarked,4
2,2,B_7,IS,Mixed,Control,NA,NA,NA
2,2,B_7,IS,Mixed,Control,NA,NA,NA
2,2,B_7,IS,Mixed,Control,NA,NA,NA
2,2,B_7,IS,Mixed,Control,NA,NA,0
2,2,B_7,IS,Mixed,Control,NA,NA,0
2,2,B_7,IS,Mixed,Control,NA,NA,0
2,2,B_7,IS,Mixed,Control,NA,NA,0
2,2,B_7,IS,Mixed,Control,NA,NA,0
2,2,B_7,IS,Mixed,Control,NA,NA,0
2,2,B_7,IS,Mixed,Control,NA,NA,0
2,2,B_7,IS,Mixed,Control,NA,NA,0
2,2,B_7,IS,Mixed,Control,NA,NA,0
2,2,B_7,IS,Mixed,Control,NA,NA,0
2,2,B_7,IS,Mixed,Control,NA,NA,0
2,2,B_7,IS,Mixed,Control,NA,NA,0
2,2,B_7,IS,Mixed,Control,NA,NA,0
2,2,B_7,IS,Mixed,Control,NA,NA,0
1,2,C_7,IS,Dormant,Control,1,OC,9
1,2,C_7,IS,Dormant,Control,2,OC,4
1,2,C_7,IS,Dormant,Control,3,OC,5
1,2,C_7,IS,Dormant,Control,4,OC,4
1,2,C_7,IS,Dormant,Control,5,OC,3
1,2,C_7,IS,Dormant,Control,6,OC,2
1,2,C_7,IS,Dormant,Control,7,OC,3
1,2,C_7,IS,Dormant,Control,8,OC,5
1,2,C_7,IS,Dormant,Control,9,OC,6
1,2,C_7,IS,Dormant,Control,10,OC,7
1,2,C_7,IS,Dormant,Control,11,OC,3
1,2,C_7,IS,Dormant,Control,12,OC,4
1,2,C_7,IS,Dormant,Control,13,OC,11
1,2,C_7,IS,Dormant,Control,14,OC,17
1,2,C_7,IS,Dormant,Control,15,OC,41
1,2,C_7,IS,Dormant,Control,16,OC,4
1,2,C_7,IS,Dormant,Control,17,OC,6
1,2,C_7,IS,Dormant,Control,18,OC,5
1,2,C_7,IS,Dormant,Control,19,OC,133
1,2,C_7,IS,Dormant,Control,20,OC,35
2,2,C_7,IS,Dormant,Control,3,pink,9
2,2,C_7,IS,Dormant,Control,5,blue,6
2,2,C_7,IS,Dormant,Control,6,unmarked,5
2,2,C_7,IS,Dormant,Control,7,unmarked,3
2,2,C_7,IS,Dormant,Control,8,unmarked,3
2,2,C_7,IS,Dormant,Control,9,unmarked,9
2,2,C_7,IS,Dormant,Control,10,unmarked,22
2,2,C_7,IS,Dormant,Control,1,purple,0
2,2,C_7,IS,Dormant,Control,2,yellow,0
2,2,C_7,IS,Dormant,Control,4,orange,0
1,2,D_5,IS,Mixed,High Humidity,1,blue,30
1,2,D_5,IS,Mixed,High Humidity,2,orange,183
1,2,D_5,IS,Mixed,High Humidity,3,green,168
1,2,D_5,IS,Mixed,High Humidity,4,yellow,240
1,2,D_5,IS,Mixed,High Humidity,5,green-red,245
1,2,D_5,IS,Mixed,High Humidity,7,pink,195
1,2,D_5,IS,Mixed,High Humidity,8,IC,24
1,2,D_5,IS,Mixed,High Humidity,9,IC,6
1,2,D_5,IS,Mixed,High Humidity,10,IC,3
1,2,D_5,IS,Mixed,High Humidity,11,IC,30
1,2,D_5,IS,Mixed,High Humidity,12,IC,28
1,2,D_5,IS,Mixed,High Humidity,13,IC,54
1,2,D_5,IS,Mixed,High Humidity,14,IC,93
1,2,D_5,IS,Mixed,High Humidity,15,OC,150
1,2,D_5,IS,Mixed,High Humidity,16,OC,732
1,2,D_5,IS,Mixed,High Humidity,17,OC,130
1,2,D_5,IS,Mixed,High Humidity,18,OC,6
1,2,D_5,IS,Mixed,High Humidity,19,OC,114
1,2,D_5,IS,Mixed,High Humidity,20,OC,1116
2,2,D_5,IS,Mixed,High Humidity,7,purple,3
2,2,D_5,IS,Mixed,High Humidity,12,blue-orange,3
2,2,D_5,IS,Mixed,High Humidity,13,green-pink,5
2,2,D_5,IS,Mixed,High Humidity,14,green-yellow,31
2,2,D_5,IS,Mixed,High Humidity,15,green-purple,4
2,2,D_5,IS,Mixed,High Humidity,16,green-orange,4
2,2,D_5,IS,Mixed,High Humidity,17,unmarked,9
2,2,D_5,IS,Mixed,High Humidity,18,unmarked,12
2,2,D_5,IS,Mixed,High Humidity,19,unmarked,6
2,2,D_5,IS,Mixed,High Humidity,20,unmarked,2
2,2,D_5,IS,Mixed,High Humidity,1,yellow,0
2,2,D_5,IS,Mixed,High Humidity,2,pink,0
2,2,D_5,IS,Mixed,High Humidity,3,orange,0
2,2,D_5,IS,Mixed,High Humidity,4,blue,0
2,2,D_5,IS,Mixed,High Humidity,6,blue-pink,0
2,2,D_5,IS,Mixed,High Humidity,8,purple-yellow,0
2,2,D_5,IS,Mixed,High Humidity,9,blue-green,0
2,2,D_5,IS,Mixed,High Humidity,10,purple-orange,0
1,2,D_6,IS,Dormant,High Humidity,1,purple,31
1,2,D_6,IS,Dormant,High Humidity,2,orange,72
1,2,D_6,IS,Dormant,High Humidity,3,pink,3
1,2,D_6,IS,Dormant,High Humidity,4,green,127
1,2,D_6,IS,Dormant,High Humidity,5,yellow,10
1,2,D_6,IS,Dormant,High Humidity,6,blue,19
1,2,D_6,IS,Dormant,High Humidity,7,IC,29
1,2,D_6,IS,Dormant,High Humidity,8,IC,130
1,2,D_6,IS,Dormant,High Humidity,9,IC,15
1,2,D_6,IS,Dormant,High Humidity,10,IC,25
1,2,D_6,IS,Dormant,High Humidity,11,IC,50
1,2,D_6,IS,Dormant,High Humidity,12,IC,30
1,2,D_6,IS,Dormant,High Humidity,13,IC,5
1,2,D_6,IS,Dormant,High Humidity,14,IC,12
1,2,D_6,IS,Dormant,High Humidity,15,IC,213
1,2,D_6,IS,Dormant,High Humidity,16,OC,278
1,2,D_6,IS,Dormant,High Humidity,17,OC,105
1,2,D_6,IS,Dormant,High Humidity,18,OC,18
1,2,D_6,IS,Dormant,High Humidity,19,OC,38
1,2,D_6,IS,Dormant,High Humidity,20,OC,133
2,2,D_6,IS,Dormant,High Humidity,10,blue-orange,5
2,2,D_6,IS,Dormant,High Humidity,11,green-orange,1
2,2,D_6,IS,Dormant,High Humidity,12,blue-yellow,2
2,2,D_6,IS,Dormant,High Humidity,13,green-yellow,2
2,2,D_6,IS,Dormant,High Humidity,15,purple-orange,2
2,2,D_6,IS,Dormant,High Humidity,17,purple-yellow,9
2,2,D_6,IS,Dormant,High Humidity,19,yellow-orange,6
2,2,D_6,IS,Dormant,High Humidity,20,yellow-pink,3
2,2,D_6,IS,Dormant,High Humidity,21,unmarked,21
2,2,D_6,IS,Dormant,High Humidity,22,unmarked,27
2,2,D_6,IS,Dormant,High Humidity,23,unmarked,3
2,2,D_6,IS,Dormant,High Humidity,1,pink,0
2,2,D_6,IS,Dormant,High Humidity,2,yellow,0
2,2,D_6,IS,Dormant,High Humidity,3,blue,0
2,2,D_6,IS,Dormant,High Humidity,4,purple,0
2,2,D_6,IS,Dormant,High Humidity,5,green,0
2,2,D_6,IS,Dormant,High Humidity,6,blue-green,0
2,2,D_6,IS,Dormant,High Humidity,7.1,green-purple,0
2,2,D_6,IS,Dormant,High Humidity,7.2,green-purple,0
2,2,D_6,IS,Dormant,High Humidity,8,purple-pink,0
2,2,D_6,IS,Dormant,High Humidity,9,blue-pink,0
2,2,D_6,IS,Dormant,High Humidity,11.1,green-orange,0
2,2,D_6,IS,Dormant,High Humidity,14.1,green-pink,0
2,2,D_6,IS,Dormant,High Humidity,14.2,green-pink,0
2,2,D_6,IS,Dormant,High Humidity,16,blue-purple,0
2,2,D_6,IS,Dormant,High Humidity,18,green-orange,0
1,2,D_8,IS,Non-Dormant,Litter,1,blue,322
1,2,D_8,IS,Non-Dormant,Litter,2,pink,18
1,2,D_8,IS,Non-Dormant,Litter,3,OC,55
1,2,D_8,IS,Non-Dormant,Litter,4,OC,61
1,2,D_8,IS,Non-Dormant,Litter,5,OC,9
1,2,D_8,IS,Non-Dormant,Litter,6,OC,112
1,2,D_8,IS,Non-Dormant,Litter,7,OC,176
1,2,D_8,IS,Non-Dormant,Litter,8,OC,7
1,2,D_8,IS,Non-Dormant,Litter,9,OC,10
1,2,D_8,IS,Non-Dormant,Litter,10,OC,45
1,2,D_8,IS,Non-Dormant,Litter,11,OC,242
1,2,D_8,IS,Non-Dormant,Litter,NA,NA,0
1,2,D_8,IS,Non-Dormant,Litter,NA,NA,0
1,2,D_8,IS,Non-Dormant,Litter,NA,NA,0
2,2,D_8,IS,Non-Dormant,Litter,1,green,13
2,2,D_8,IS,Non-Dormant,Litter,2,pink,51
2,2,D_8,IS,Non-Dormant,Litter,3,blue,5
2,2,D_8,IS,Non-Dormant,Litter,5,yellow,4
2,2,D_8,IS,Non-Dormant,Litter,6,purple,8
2,2,D_8,IS,Non-Dormant,Litter,7,unmarked,3
2,2,D_8,IS,Non-Dormant,Litter,8,unmarked,3
2,2,D_8,IS,Non-Dormant,Litter,9,unmarked,2
2,2,D_8,IS,Non-Dormant,Litter,10,unmarked,6
2,2,D_8,IS,Non-Dormant,Litter,11,unmarked,8
2,2,D_8,IS,Non-Dormant,Litter,12,unmarked,6
2,2,D_8,IS,Non-Dormant,Litter,13,unmarked,4
2,2,D_8,IS,Non-Dormant,Litter,14,unmarked,4
2,2,D_8,IS,Non-Dormant,Litter,15,unmarked,2
2,2,D_8,IS,Non-Dormant,Litter,16,unmarked,9
2,2,D_8,IS,Non-Dormant,Litter,17,unmarked,22
2,2,D_8,IS,Non-Dormant,Litter,18,unmarked,5
2,2,D_8,IS,Non-Dormant,Litter,4,orange,0
1,2,E_7,IS,Dormant,Litter,1,OC,2
1,2,E_7,IS,Dormant,Litter,2,OC,11
1,2,E_7,IS,Dormant,Litter,3,OC,2
1,2,E_7,IS,Dormant,Litter,4,OC,2
1,2,E_7,IS,Dormant,Litter,5,OC,18
1,2,E_7,IS,Dormant,Litter,6,OC,137
1,2,E_7,IS,Dormant,Litter,7,OC,21
1,2,E_7,IS,Dormant,Litter,8,OC,17
1,2,E_7,IS,Dormant,Litter,9,OC,159
1,2,E_7,IS,Dormant,Litter,NA,NA,0
1,2,E_7,IS,Dormant,Litter,NA,NA,0
1,2,E_7,IS,Dormant,Litter,NA,NA,0
1,2,E_7,IS,Dormant,Litter,NA,NA,0
1,2,E_7,IS,Dormant,Litter,NA,NA,0
1,2,E_7,IS,Dormant,Litter,NA,NA,0
1,2,E_7,IS,Dormant,Litter,NA,NA,0
1,2,E_7,IS,Dormant,Litter,NA,NA,0
1,2,E_7,IS,Dormant,Litter,NA,NA,0
2,2,E_7,IS,Dormant,Litter,NA,NA,0
2,2,E_7,IS,Dormant,Litter,NA,NA,0
2,2,E_7,IS,Dormant,Litter,NA,NA,0
2,2,E_7,IS,Dormant,Litter,NA,NA,0
2,2,E_7,IS,Dormant,Litter,NA,NA,0
2,2,E_7,IS,Dormant,Litter,NA,NA,0
2,2,E_7,IS,Dormant,Litter,NA,NA,0
2,2,E_7,IS,Dormant,Litter,NA,NA,0
2,2,E_7,IS,Dormant,Litter,NA,NA,0
2,2,E_7,IS,Dormant,Litter,NA,NA,0
2,2,E_7,IS,Dormant,Litter,NA,NA,0
2,2,E_7,IS,Dormant,Litter,NA,NA,0
2,2,E_7,IS,Dormant,Litter,NA,NA,0
2,2,E_7,IS,Dormant,Litter,NA,NA,0
2,2,E_7,IS,Dormant,Litter,NA,NA,0
2,2,E_7,IS,Dormant,Litter,NA,NA,0
2,2,E_7,IS,Dormant,Litter,NA,NA,0
2,2,E_7,IS,Dormant,Litter,NA,NA,0
2,2,E_7,IS,Dormant,Litter,NA,NA,0
2,2,E_7,IS,Dormant,Litter,NA,NA,0
1,2,E_8,IS,Non-Dormant,Control,NA,NA,0
1,2,E_8,IS,Non-Dormant,Control,NA,NA,0
1,2,E_8,IS,Non-Dormant,Control,NA,NA,0
1,2,E_8,IS,Non-Dormant,Control,NA,NA,0
1,2,E_8,IS,Non-Dormant,Control,NA,NA,0
1,2,E_8,IS,Non-Dormant,Control,NA,NA,0
2,2,E_8,IS,Non-Dormant,Control,NA,NA,0
2,2,E_8,IS,Non-Dormant,Control,NA,NA,0
2,2,E_8,IS,Non-Dormant,Control,NA,NA,0
2,2,E_8,IS,Non-Dormant,Control,NA,NA,0
2,2,E_8,IS,Non-Dormant,Control,NA,NA,0
2,2,E_8,IS,Non-Dormant,Control,NA,NA,0
2,2,E_8,IS,Non-Dormant,Control,NA,NA,0
2,2,E_8,IS,Non-Dormant,Control,NA,NA,0
2,2,E_8,IS,Non-Dormant,Control,NA,NA,0
2,2,E_8,IS,Non-Dormant,Control,NA,NA,0
2,2,E_8,IS,Non-Dormant,Control,NA,NA,0
2,2,E_8,IS,Non-Dormant,Control,NA,NA,0
1,2,F_6,IS,Dormant,Native Soil,1,green,81
1,2,F_6,IS,Dormant,Native Soil,2,orange,125
1,2,F_6,IS,Dormant,Native Soil,4,blue,88
1,2,F_6,IS,Dormant,Native Soil,5,yellow,60
1,2,F_6,IS,Dormant,Native Soil,6,purple,33
1,2,F_6,IS,Dormant,Native Soil,7,pink-green,4
1,2,F_6,IS,Dormant,Native Soil,8,blue-yellow,79
1,2,F_6,IS,Dormant,Native Soil,9,purple-orange,2
1,2,F_6,IS,Dormant,Native Soil,10,pink-yellow,16
1,2,F_6,IS,Dormant,Native Soil,11,orange-blue,91
1,2,F_6,IS,Dormant,Native Soil,12,IC,11
1,2,F_6,IS,Dormant,Native Soil,13,IC,10
1,2,F_6,IS,Dormant,Native Soil,14,IC,4
1,2,F_6,IS,Dormant,Native Soil,15,IC,9
1,2,F_6,IS,Dormant,Native Soil,16,IC,19
1,2,F_6,IS,Dormant,Native Soil,17,IC,60
1,2,F_6,IS,Dormant,Native Soil,18,IC,12
1,2,F_6,IS,Dormant,Native Soil,19,IC,15
1,2,F_6,IS,Dormant,Native Soil,20,IC,210
1,2,F_6,IS,Dormant,Native Soil,3,pink,0
2,2,F_6,IS,Dormant,Native Soil,1,pink,1
2,2,F_6,IS,Dormant,Native Soil,2,green,7
2,2,F_6,IS,Dormant,Native Soil,5,orange,1
2,2,F_6,IS,Dormant,Native Soil,6,unmarked,5
2,2,F_6,IS,Dormant,Native Soil,3,yellow,0
2,2,F_6,IS,Dormant,Native Soil,4,blue,0
2,2,F_6,IS,Dormant,Native Soil,NA,NA,NA
2,2,F_6,IS,Dormant,Native Soil,NA,NA,NA
2,2,F_6,IS,Dormant,Native Soil,NA,NA,0
2,2,F_6,IS,Dormant,Native Soil,NA,NA,0
2,2,F_6,IS,Dormant,Native Soil,NA,NA,0
2,2,F_6,IS,Dormant,Native Soil,NA,NA,0
2,2,F_6,IS,Dormant,Native Soil,NA,NA,0
2,2,F_6,IS,Dormant,Native Soil,NA,NA,0
2,2,F_6,IS,Dormant,Native Soil,NA,NA,0
2,2,F_6,IS,Dormant,Native Soil,NA,NA,0
2,2,F_6,IS,Dormant,Native Soil,NA,NA,0
2,2,F_6,IS,Dormant,Native Soil,NA,NA,0
2,2,F_6,IS,Dormant,Native Soil,NA,NA,0
2,2,F_6,IS,Dormant,Native Soil,NA,NA,0
1,2,F_8,IS,Non-Dormant,Native Soil,1,yellow,13
1,2,F_8,IS,Non-Dormant,Native Soil,2,pink,221
1,2,F_8,IS,Non-Dormant,Native Soil,3,blue,66
1,2,F_8,IS,Non-Dormant,Native Soil,4,green,83
1,2,F_8,IS,Non-Dormant,Native Soil,5,orange,64
1,2,F_8,IS,Non-Dormant,Native Soil,6,IC,71
1,2,F_8,IS,Non-Dormant,Native Soil,7,IC,20
1,2,F_8,IS,Non-Dormant,Native Soil,8,IC,41
1,2,F_8,IS,Non-Dormant,Native Soil,9,IC,4
1,2,F_8,IS,Non-Dormant,Native Soil,10,IC,6
1,2,F_8,IS,Non-Dormant,Native Soil,11,IC,166
1,2,F_8,IS,Non-Dormant,Native Soil,12,IC,36
1,2,F_8,IS,Non-Dormant,Native Soil,13,IC,245
1,2,F_8,IS,Non-Dormant,Native Soil,14,IC,106
1,2,F_8,IS,Non-Dormant,Native Soil,15,IC,171
1,2,F_8,IS,Non-Dormant,Native Soil,16,IC,268
1,2,F_8,IS,Non-Dormant,Native Soil,17,IC,10
1,2,F_8,IS,Non-Dormant,Native Soil,18,IC,34
1,2,F_8,IS,Non-Dormant,Native Soil,19,IC,100
1,2,F_8,IS,Non-Dormant,Native Soil,20,IC,102
2,2,F_8,IS,Non-Dormant,Native Soil,NA,NA,NA
2,2,F_8,IS,Non-Dormant,Native Soil,NA,NA,0
2,2,F_8,IS,Non-Dormant,Native Soil,NA,NA,0
2,2,F_8,IS,Non-Dormant,Native Soil,NA,NA,0
2,2,F_8,IS,Non-Dormant,Native Soil,NA,NA,0
2,2,F_8,IS,Non-Dormant,Native Soil,NA,NA,0
2,2,F_8,IS,Non-Dormant,Native Soil,NA,NA,0
2,2,F_8,IS,Non-Dormant,Native Soil,NA,NA,0
2,2,F_8,IS,Non-Dormant,Native Soil,NA,NA,0
2,2,F_8,IS,Non-Dormant,Native Soil,NA,NA,0
2,2,F_8,IS,Non-Dormant,Native Soil,NA,NA,0
2,2,F_8,IS,Non-Dormant,Native Soil,NA,NA,0
2,2,F_8,IS,Non-Dormant,Native Soil,NA,NA,0
2,2,F_8,IS,Non-Dormant,Native Soil,NA,NA,0
2,2,F_8,IS,Non-Dormant,Native Soil,NA,NA,0
2,2,F_8,IS,Non-Dormant,Native Soil,NA,NA,0
2,2,F_8,IS,Non-Dormant,Native Soil,NA,NA,0
